,name,Ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B
0,Avenue Supermarts Ltd.,DMART,Retail,17359.75,31-03-2023,2204778.2,37.32,91.13,13.36
1,Canara Bank,CANBK,Banks,17359.75,31-03-2023,516029.35,56.59,5.03,0.78
2,Cummins India Ltd.,CUMMINSIND,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,451725.12,40.66,40.08,8.42
3,Cupid Ltd.,CUPID,Miscellaneous,17359.75,31-03-2023,3375.18,23.38,10.82,2.02
5,Cybertech Systems & Software Ltd.,CYBERTECH,IT - Software,17359.75,31-03-2023,3375.18,23.38,10.82,2.02
6,Cyient Ltd.,CYIENT,IT - Software,17359.75,31-03-2023,3375.18,23.38,10.82,2.02
7,D B Realty Ltd.,DBREALTY,Realty,17359.75,31-03-2023,2835.92,5.58,17.84,2.18
8,D-Link (India) Ltd.,DLINKINDIA,IT - Hardware,17359.75,31-03-2023,110049.77,30.89,32.22,4.07
9,Dabur India Ltd.,DABUR,FMCG,17359.75,31-03-2023,22713.98,1.0,64.4,0.78
12,Datamatics Global Services Ltd.,DATAMATICS,IT - Software,17359.75,31-03-2023,8281.51,23.8,9.8,2.3
13,De Nora India Ltd.,DENORA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,8281.51,23.8,9.8,2.3
14,Deccan Cements Ltd.,DECCANCE,Cement,17359.75,31-03-2023,8281.51,23.8,9.8,2.3
15,Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,17359.75,31-03-2023,8281.51,23.8,9.8,2.3
16,Delta Corp Ltd.,DELTACORP,Entertainment,17359.75,31-03-2023,8281.51,23.8,9.8,2.3
18,Den Networks Ltd.,DEN,Entertainment,17359.75,31-03-2023,8281.51,23.8,9.8,2.3
19,Dev Information Technology Ltd.,DEVIT,IT - Software,17359.75,31-03-2023,965433.91,7.72,70.6,15.36
20,Dhampur Sugar Mills Ltd.,DHAMPURSUG,Sugar,17359.75,31-03-2023,965433.91,7.72,70.6,15.36
21,Dhanlaxmi Bank Ltd.,DHANBANK,Banks,17359.75,31-03-2023,965433.91,7.72,70.6,15.36
22,Dhanuka Agritech Ltd.,DHANUKA,Agro Chemicals,17359.75,31-03-2023,965433.91,7.72,70.6,15.36
26,Dhunseri Investments Ltd.,DHUNINV,Finance,17359.75,31-03-2023,965433.91,7.72,70.6,15.36
27,Dhunseri Ventures Ltd.,DVL,Petrochemicals,17359.75,31-03-2023,965433.91,7.72,70.6,15.36
31,Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,17359.75,31-03-2023,965433.91,7.72,70.6,15.36
32,Dollar Industries Ltd.,DOLLAR,Textiles,17359.75,31-03-2023,965433.91,7.72,70.6,15.36
33,Donear Industries Ltd.,DONEAR,Textiles,17359.75,31-03-2023,965433.91,7.72,70.6,15.36
34,Ducon Infratechnologies Ltd.,DUCON,IT - Software,17359.75,31-03-2023,965433.91,7.72,70.6,15.36
35,Dynacons Systems & Solutions Ltd.,DSSL,IT - Software,17359.75,31-03-2023,16753.4,17.49,16.24,2.18
36,Dynamatic Technologies Ltd.,DYNAMATECH,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,4521.1,36.26,23.49,4.45
39,Edelweiss Financial Services Ltd.,EDELWEISS,Finance,17359.75,31-03-2023,48354.52,8.28,21.83,2.23
41,Eicher Motors Ltd.,EICHERMOT,Automobile,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
42,Eimco Elecon (India) Ltd.,EIMCOELECO,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
43,Electrosteel Castings Ltd.,ELECTCAST,"Castings, Forgings & Fastners",17359.75,31-03-2023,12789.6,2.76,9.73,0.37
45,Elgi Equipments Ltd.,ELGIEQUIP,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
46,Emami Ltd.,EMAMILTD,FMCG,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
47,Emami Paper Mills Ltd.,EMAMIPAP,Paper,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
50,Emkay Global Financial Services Ltd.,EMKAY,Stock/ Commodity Brokers,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
51,Emkay Taps & Cutting Tools Ltd.,EMKAYTOOLS,Engineering,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
52,Emmbi Industries Ltd.,EMMBI,Packaging,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
53,Endurance Technologies Ltd.,ENDURANCE,Auto Ancillaries,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
54,Engineers India Ltd.,ENGINERSIN,Infrastructure Developers & Operators,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
56,Equitas Small Finance Bank Ltd.,EQUITAS,Finance,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
57,Eris Lifesciences Ltd.,ERIS,Pharmaceuticals,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
59,Esab India Ltd.,ESABINDIA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
61,Ester Industries Ltd.,ESTER,Packaging,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
63,Excel Industries Ltd.,EXCEL,IT - Software,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
64,Excel Industries Ltd.,EXCELINDUS,Chemicals,17359.75,31-03-2023,12789.6,2.76,9.73,0.37
65,Exide Industries Ltd.,EXIDEIND,Auto Ancillaries,17359.75,31-03-2023,2072.5,3.9,24.04,4.92
66,Expleo Solutions Ltd.,EXPLEOSOL,IT - Software,17359.75,31-03-2023,2072.5,3.9,24.04,4.92
67,Federal Bank Ltd.,FEDERALBNK,Banks,17359.75,31-03-2023,2072.5,3.9,24.04,4.92
68,Federal-Mogul Goetze (India) Ltd.,FMGOETZE,Auto Ancillaries,17359.75,31-03-2023,2072.5,3.9,24.04,4.92
69,Fiem Industries Ltd.,FIEMIND,Auto Ancillaries,17359.75,31-03-2023,14840.95,21.69,10.31,1.43
70,Filatex India Ltd.,FILATEX,Textiles,17359.75,31-03-2023,14840.95,21.69,10.31,1.43
71,Fineotex Chemical Ltd.,FCL,Chemicals,17359.75,31-03-2023,14840.95,21.69,10.31,1.43
72,Finolex Cables Ltd.,FINCABLES,Cables,17359.75,31-03-2023,14840.95,21.69,10.31,1.43
73,Finolex Industries Ltd.,FINPIPE,Plastic products,17359.75,31-03-2023,3656.02,1.25,11.57,0.45
74,Firstsource Solutions Ltd.,FSL,IT - Software,17359.75,31-03-2023,27866.59,45.5,13.44,2.63
75,Fortis Healthcare Ltd.,FORTIS,Healthcare,17359.75,31-03-2023,3654.65,11.79,50.83,1.04
76,Foseco India Ltd.,FOSECOIND,Chemicals,17359.75,31-03-2023,7637.15,34.45,6.33,0.53
81,Gabriel India Ltd.,GABRIEL,Auto Ancillaries,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
82,Gallantt Ispat Ltd.,GALLISPAT,Steel,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
83,Gandhi Special Tubes Ltd.,GANDHITUBE,Steel,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
84,Ganesha Ecosphere Ltd.,GANECOS,Textiles,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
85,Garden Reach Shipbuilders & Engineers Ltd.,GRSE,Ship Building,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
86,Gateway Distriparks Ltd.,GDL,Logistics,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
87,Gati Ltd.,GATI,Logistics,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
88,Geekay Wires Ltd.,GEEKAYWIRE,Cables,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
90,Genus Power Infrastructures Ltd.,GENUSPOWER,Consumer Durables,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
91,Gillette India Ltd.,GILLETTE,FMCG,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
93,Glenmark Pharmaceuticals Ltd.,GLENMARK,Pharmaceuticals,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
96,Globe International Carriers Ltd.,GLOBE,Textiles,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
97,Globus Spirits Ltd.,GLOBUSSPR,Alcoholic Beverages,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
98,Godfrey Phillips India Ltd.,GFLLIMITED,Finance,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
99,Godfrey Phillips India Ltd.,GODFRYPHLP,Tobacco Products,17359.75,31-03-2023,19725.87,9.05,38.45,2.75
