name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
360 One Wam Ltd.,0.0,0.0,516.7,516.3,11.0,0.0,0.0,0.0,0.0,0.0
3M India Ltd.,76.9,67.4,75.4,57.2,46.2,48.8,74.5,174.9,103.1,68.2
A B B India Ltd.,0.0,0.0,0.0,6000.0,6000.0,41.4,20.3,70.6,449.3,185.3
A C C Ltd.,850.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.8,1013.7
A I A Engineering Ltd.,1054.5,867.2,550.8,252.9,3.4,2.0,150.0,104.5,57.5,30.8
A P L Apollo Tubes Ltd.,473.9,939.4,836.0,1427.3,983.4,755.9,1405.8,2460.9,2252.6,1090.6
A U Small Finance Bank Ltd.,14625.2,12734.5,15795.7,28108.6,0.0,0.0,0.0,0.0,0.0,0.0
Aarti Drugs Ltd.,843.5,766.4,1514.7,1752.1,1910.9,1898.0,1979.5,1838.9,1519.4,1202.1
Aarti Industries Ltd.,1169.4,2623.4,4189.2,5251.8,5956.0,8974.3,8077.5,5987.8,12811.7,9447.6
Aavas Financiers Ltd.,1011.1,2573.0,5238.8,11963.7,15096.9,0.0,0.0,0.0,0.0,0.0
Abbott India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.0,1176.8,1087.4
Adani Energy Solutions Ltd.,0.0,0.0,0.0,26922.8,67554.7,62113.2,51763.3,73511.9,69239.4,74070.0
Adani Enterprises Ltd.,14900.0,20405.8,25351.5,19113.3,18578.2,15969.9,9283.4,10653.8,13510.0,20726.6
Adani Power Ltd.,207528.0,176031.6,167029.7,147198.1,172274.1,22440.5,83746.6,31128.5,9305.6,304015.1
Adani Total Gas Ltd.,3457.4,3146.3,2545.3,942.0,3206.7,12342.1,3457.1,3187.0,3453.5,3881.5
Aditya Birla Capital Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aditya Birla Fashion & Retail Ltd.,4849.3,10150.0,9375.0,6766.4,12704.8,11879.0,7232.7,26461.8,24966.8,26217.2
Aegis Logistics Ltd.,821.5,905.1,510.0,395.9,356.7,488.3,490.7,3208.6,3853.5,3817.1
Affle (India) Ltd.,0.0,0.0,0.0,42.8,5.3,0.0,0.0,14.6,5.5,0.0
Ajanta Pharma Ltd.,722.0,512.8,322.7,138.2,0.0,0.0,0.0,119.7,163.0,163.3
Akzo Nobel India Ltd.,0.0,0.0,0.0,26.0,29.0,29.0,29.0,532.0,511.0,551.0
Alembic Pharmaceuticals Ltd.,705.3,522.3,188.0,0.0,0.0,5000.0,4993.0,9602.9,2714.3,620.3
Alkem Laboratories Ltd.,922.8,539.2,281.3,0.0,0.0,63.3,63.2,550.4,396.9,378.4
Alkyl Amines Chemicals Ltd.,599.8,648.4,560.1,446.8,662.2,1081.9,790.5,485.5,221.6,4.9
Amara Raja Batteries Ltd.,773.1,759.5,741.4,724.7,690.1,584.3,468.0,560.1,619.8,938.0
