name,ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B,Beta,Industry PE,Industry PB,Risk_Score,risk,alt-score,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Avenue Supermarts Ltd.,DMART,Retail,17359.75,31-03-2023,2204778.2,37.32,91.13,13.36,1.03,22.5,2.5,-3.692222222,Highly risky,10.81651507,4059.4,4736.2,6423.3,7899.2,29681.0,19464.1,20290.5,22922.7,39608.9,33511.4
Canara Bank,CANBK,Banks,17359.75,31-03-2023,516029.35,56.59,5.03,0.78,1.69,12.5,1.5,6.0466,Investment Worthy,-0.049331099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cummins India Ltd.,CUMMINSIND,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,451725.12,40.66,40.08,8.42,1.08,17.5,2.5,0.327714286,Moderately risky,5.052332826,25349.3,20223.6,24157.3,22815.5,26754.5,32160.4,34125.5,33771.9,32454.1,43983.2
Cupid Ltd.,CUPID,Miscellaneous,17359.75,31-03-2023,3375.18,23.38,10.82,2.02,1.23,18.5,2.5,2.715135135,Non risky,2.910658905,68.8,99.5,188.6,347.6,454.9,614.2,712.1,1357.2,1230.2,1419.2
Cybertech Systems & Software Ltd.,CYBERTECH,IT - Software,17359.75,31-03-2023,2835.92,5.58,17.84,2.18,1.35,30.0,5.0,1.177333333,Non risky,2.050604333,651.0,655.5,581.4,609.5,584.3,608.1,627.8,630.6,720.3,756.5
Cyient Ltd.,CYIENT,IT - Software,17359.75,31-03-2023,110049.77,30.89,32.22,4.07,0.88,30.0,5.0,3.321,Investment Worthy,3.826281484,8132.9,12016.8,11161.6,11781.0,14879.0,17373.0,18760.0,18696.0,23129.0,22936.0
D B Realty Ltd.,DBREALTY,Realty,17359.75,31-03-2023,22713.98,1.0,64.4,0.78,1.74,12.5,1.5,-4.312,Highly risky,1.239587139,10173.9,8790.3,8556.1,12284.0,15131.5,13675.3,12927.3,15022.7,18303.6,21778.6
D-Link (India) Ltd.,DLINKINDIA,IT - Hardware,17359.75,31-03-2023,8281.51,23.8,9.8,2.3,1.52,15.0,2.0,2.056666667,Non risky,3.178090999,1301.3,1652.5,2217.6,2878.7,2455.4,2948.6,3278.5,3618.0,4045.4,5018.2
Dabur India Ltd.,DABUR,FMCG,17359.75,31-03-2023,965433.91,7.72,70.6,15.36,0.59,30.0,6.0,-1.731333333,Highly risky,6.933069121,20783.4,21980.6,19950.2,23818.6,24510.0,19690.9,21341.3,32760.6,28434.2,26515.6
Datamatics Global Services Ltd.,DATAMATICS,IT - Software,17359.75,31-03-2023,16753.4,17.49,16.24,2.18,1.65,30.0,5.0,2.121666667,Non risky,3.533821333,972.7,885.8,869.6,1311.7,1622.9,1624.4,1861.6,2740.9,3051.1,4478.4
De Nora India Ltd.,DENORA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,4521.1,36.26,23.49,4.45,1.2,17.5,2.5,2.303714286,Non risky,4.516640544,409.8,347.3,379.5,396.4,467.6,460.8,498.5,626.4,690.5,900.6
Deccan Cements Ltd.,DECCANCE,Cement,17359.75,31-03-2023,5825.72,34.98,11.89,0.85,1.13,17.5,2.5,4.348571429,Investment Worthy,1.055380475,1275.6,1598.2,1502.9,1047.3,1390.9,1807.7,2387.9,2573.3,3777.4,4235.8
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,17359.75,31-03-2023,251317.82,34.16,53.93,9.57,1.24,20.0,3.5,-0.254785714,Moderately risky,6.80910612,4239.3,5018.7,4829.0,5518.6,6822.2,7525.8,6481.8,6821.2,7676.8,14089.1
Delta Corp Ltd.,DELTACORP,Entertainment,17359.75,31-03-2023,48354.52,8.28,21.83,2.23,1.64,25.0,4.0,0.7573,Non risky,1.678683978,6540.2,3679.2,4305.0,4583.0,5202.3,9561.6,7933.9,7305.1,7673.1,7186.5
Den Networks Ltd.,DEN,Entertainment,17359.75,31-03-2023,12789.6,2.76,9.73,0.37,1.16,25.0,4.0,1.6343,Non risky,0.726222116,6918.3,16759.9,14932.7,12018.4,10525.0,9857.7,29335.3,28752.6,29340.0,29564.6
Dev Information Technology Ltd.,DEVIT,IT - Software,17359.75,31-03-2023,2072.5,3.9,24.04,4.92,1.06,30.0,5.0,0.544666667,Moderately risky,4.36026935,179.4,313.5,211.5,250.7,329.0,438.0,375.5,394.6,446.3,500.6
Dhampur Sugar Mills Ltd.,DHAMPURSUG,Sugar,17359.75,31-03-2023,14840.95,21.69,10.31,1.43,1.35,12.0,1.2,1.768166667,Non risky,1.996572142,15345.6,14120.0,16929.4,16030.0,17818.9,14867.1,21946.1,21727.4,18448.9,11470.2
Dhanlaxmi Bank Ltd.,DHANBANK,Banks,17359.75,31-03-2023,3656.02,1.25,11.57,0.45,1.43,12.5,1.5,0.4694,Moderately risky,0.013457291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhanuka Agritech Ltd.,DHANUKA,Agro Chemicals,17359.75,31-03-2023,27866.59,45.5,13.44,2.63,0.97,18.0,2.0,4.518333333,Investment Worthy,3.035494801,3382.9,4066.6,4493.3,4500.9,5038.2,5786.4,5996.2,6739.7,8693.7,9666.4
Dhunseri Investments Ltd.,DHUNINV,Finance,17359.75,31-03-2023,3654.65,11.79,50.83,1.04,1.11,15.0,1.8,-0.897444444,Moderately risky,0.833668007,79.7,117.0,176.5,44.0,30.6,148.9,0.0,0.0,0.0,0.0
Dhunseri Ventures Ltd.,DVL,Petrochemicals,17359.75,31-03-2023,7637.15,34.45,6.33,0.53,1.18,12.0,1.5,4.384166667,Investment Worthy,0.039954314,15537.2,16492.7,12688.9,22058.7,1549.7,7235.5,4873.7,2864.2,3400.1,3583.3
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,17359.75,31-03-2023,170419.5,35.46,80.69,15.19,1.16,20.0,2.5,-4.7245,Highly risky,9.071895811,1670.1,1743.6,1850.7,1983.7,3458.1,4608.5,8485.4,9911.5,18961.4,19060.5
Dollar Industries Ltd.,DOLLAR,Textiles,17359.75,31-03-2023,19725.87,9.05,38.45,2.75,1.33,15.0,1.8,-1.516111111,Moderately risky,2.451702707,2787.2,2670.6,3322.1,4267.6,4705.2,6250.0,7641.9,7173.1,7260.6,9895.9
