name,ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B,Beta,Industry PE,Industry PB,Risk_Score,risk,alt-score,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Avenue Supermarts Ltd.,DMART,Retail,17359.75,31-03-2023,2204778.2,37.32,91.13,13.36,1.03,22.5,2.5,-3.692222222,Highly risky,10.81651507,3711.6,4568.4,7137.8,9084.7,9809.3,2460.0,1256.7,1781.3,2169.2,3203.1
Canara Bank,CANBK,Banks,17359.75,31-03-2023,516029.35,56.59,5.03,0.78,1.69,12.5,1.5,6.0466,Investment Worthy,-0.049331099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cummins India Ltd.,CUMMINSIND,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,451725.12,40.66,40.08,8.42,1.08,17.5,2.5,0.327714286,Moderately risky,5.052332826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.7,136.9,151.3
Cupid Ltd.,CUPID,Miscellaneous,17359.75,31-03-2023,3375.18,23.38,10.82,2.02,1.23,18.5,2.5,2.715135135,Non risky,2.910658905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cybertech Systems & Software Ltd.,CYBERTECH,IT - Software,17359.75,31-03-2023,2835.92,5.58,17.84,2.18,1.35,30.0,5.0,1.177333333,Non risky,2.050604333,0.0,45.6,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Cyient Ltd.,CYIENT,IT - Software,17359.75,31-03-2023,110049.77,30.89,32.22,4.07,0.88,30.0,5.0,3.321,Investment Worthy,3.826281484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,769.0,798.0
D B Realty Ltd.,DBREALTY,Realty,17359.75,31-03-2023,22713.98,1.0,64.4,0.78,1.74,12.5,1.5,-4.312,Highly risky,1.239587139,1123.9,805.4,306.0,1149.6,790.7,1295.0,87.3,0.0,0.0,0.0
D-Link (India) Ltd.,DLINKINDIA,IT - Hardware,17359.75,31-03-2023,8281.51,23.8,9.8,2.3,1.52,15.0,2.0,2.056666667,Non risky,3.178090999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,23.1,3.1
Dabur India Ltd.,DABUR,FMCG,17359.75,31-03-2023,965433.91,7.72,70.6,15.36,0.59,30.0,6.0,-1.731333333,Highly risky,6.933069121,8.4,0.0,0.0,7.2,2006.4,2010.4,260.5,246.8,196.2,2894.4
Datamatics Global Services Ltd.,DATAMATICS,IT - Software,17359.75,31-03-2023,16753.4,17.49,16.24,2.18,1.65,30.0,5.0,2.121666667,Non risky,3.533821333,0.0,520.0,387.5,346.5,79.8,0.0,0.0,0.0,15.7,11.9
De Nora India Ltd.,DENORA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,4521.1,36.26,23.49,4.45,1.2,17.5,2.5,2.303714286,Non risky,4.516640544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deccan Cements Ltd.,DECCANCE,Cement,17359.75,31-03-2023,5825.72,34.98,11.89,0.85,1.13,17.5,2.5,4.348571429,Investment Worthy,1.055380475,2055.7,1715.6,1163.1,450.1,261.8,249.4,251.5,669.3,517.9,462.4
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,17359.75,31-03-2023,251317.82,34.16,53.93,9.57,1.24,20.0,3.5,-0.254785714,Moderately risky,6.80910612,2393.4,2712.5,2386.0,1589.2,1371.9,929.5,815.9,105.2,72.6,96.1
Delta Corp Ltd.,DELTACORP,Entertainment,17359.75,31-03-2023,48354.52,8.28,21.83,2.23,1.64,25.0,4.0,0.7573,Non risky,1.678683978,1.9,881.2,718.4,483.8,240.7,9.7,0.0,23.8,11.2,140.8
Den Networks Ltd.,DEN,Entertainment,17359.75,31-03-2023,12789.6,2.76,9.73,0.37,1.16,25.0,4.0,1.6343,Non risky,0.726222116,4006.8,4461.9,3374.8,3173.9,1873.3,3137.2,2636.7,0.0,0.0,0.0
Dev Information Technology Ltd.,DEVIT,IT - Software,17359.75,31-03-2023,2072.5,3.9,24.04,4.92,1.06,30.0,5.0,0.544666667,Moderately risky,4.36026935,22.5,20.8,21.1,25.4,22.2,11.8,24.2,16.5,13.8,5.6
Dhampur Sugar Mills Ltd.,DHAMPURSUG,Sugar,17359.75,31-03-2023,14840.95,21.69,10.31,1.43,1.35,12.0,1.2,1.768166667,Non risky,1.996572142,3915.7,5447.4,5712.4,5457.9,5227.3,4211.9,5301.8,4296.1,3311.1,2373.4
Dhanlaxmi Bank Ltd.,DHANBANK,Banks,17359.75,31-03-2023,3656.02,1.25,11.57,0.45,1.43,12.5,1.5,0.4694,Moderately risky,0.013457291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhanuka Agritech Ltd.,DHANUKA,Agro Chemicals,17359.75,31-03-2023,27866.59,45.5,13.44,2.63,0.97,18.0,2.0,4.518333333,Investment Worthy,3.035494801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,362.9,273.5
Dhunseri Investments Ltd.,DHUNINV,Finance,17359.75,31-03-2023,3654.65,11.79,50.83,1.04,1.11,15.0,1.8,-0.897444444,Moderately risky,0.833668007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhunseri Ventures Ltd.,DVL,Petrochemicals,17359.75,31-03-2023,7637.15,34.45,6.33,0.53,1.18,12.0,1.5,4.384166667,Investment Worthy,0.039954314,4001.5,4290.7,5049.9,0.0,0.0,0.0,529.0,467.9,407.8,39.9
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,17359.75,31-03-2023,170419.5,35.46,80.69,15.19,1.16,20.0,2.5,-4.7245,Highly risky,9.071895811,455.3,398.0,388.7,508.3,98.9,80.0,46.3,908.4,1418.0,2939.8
Dollar Industries Ltd.,DOLLAR,Textiles,17359.75,31-03-2023,19725.87,9.05,38.45,2.75,1.33,15.0,1.8,-1.516111111,Moderately risky,2.451702707,467.2,390.2,538.3,552.5,660.1,449.8,34.9,58.7,43.6,51.5
Donear Industries Ltd.,DONEAR,Textiles,17359.75,31-03-2023,4191.2,6.97,11.57,2.45,1.37,15.0,1.8,0.194555556,Moderately risky,2.022138091,697.4,466.3,222.3,174.3,134.3,93.6,29.7,18.9,70.7,145.4
Ducon Infratechnologies Ltd.,DUCON,IT - Software,17359.75,31-03-2023,1442.67,0.15,37.18,0.96,1.49,30.0,5.0,0.093666667,Moderately risky,0.97416406,0.0,0.0,0.0,0.0,258.8,382.4,0.0,0.0,0.0,0.0
Dynacons Systems & Solutions Ltd.,DSSL,IT - Software,17359.75,31-03-2023,3973.57,26.3,11.9,3.83,1.13,30.0,5.0,3.337333333,Investment Worthy,4.296545503,4.3,1.8,1.5,6.3,6.7,5.0,3.0,17.8,60.6,137.3
Dynamatic Technologies Ltd.,DYNAMATECH,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,18760.68,42.92,64.36,3.66,1.29,17.5,2.5,0.860285714,Non risky,2.514758531,1453.9,1491.9,1154.0,2115.8,3649.1,3618.6,3439.2,3381.1,3291.6,2571.7
Edelweiss Financial Services Ltd.,EDELWEISS,Finance,17359.75,31-03-2023,49616.28,25.32,2.08,0.68,1.49,15.0,1.8,3.525555556,Investment Worthy,0.639476676,2304.1,3057.1,2375.8,1062.0,212.0,0.0,0.0,0.0,0.0,0.0
Eicher Motors Ltd.,EICHERMOT,Automobile,17359.75,31-03-2023,806456.13,95.88,30.76,6.26,1.15,14.0,1.7,5.558504202,Investment Worthy,4.055082734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.3,459.7,346.4
Eimco Elecon (India) Ltd.,EIMCOELECO,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,2054.7,35.28,10.1,0.59,1.15,17.5,2.5,4.564857143,Investment Worthy,1.439481915,0.0,0.0,0.0,0.0,0.0,6.2,12.6,23.6,9.6,1.5
