name,ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B,Beta,Industry PE,Industry PB,Risk_Score,risk,alt-score,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Avenue Supermarts Ltd.,DMART,Retail,17359.75,31-03-2023,2204778.2,37.32,91.13,13.36,1.03,22.5,2.5,-3.692222222,Highly risky,10.81651507,36358.7,46859.7,64474.0,92594.8,128320.1,165587.8,219320.7,270962.6,260672.4,332676.0
Canara Bank,CANBK,Banks,17359.75,31-03-2023,516029.35,56.59,5.03,0.78,1.69,12.5,1.5,6.0466,Investment Worthy,-0.049331099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cummins India Ltd.,CUMMINSIND,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,451725.12,40.66,40.08,8.42,1.08,17.5,2.5,0.327714286,Moderately risky,5.052332826,48999.9,43251.0,47082.1,50880.6,54914.7,52442.2,58356.7,53423.6,45124.5,63426.1
Cupid Ltd.,CUPID,Miscellaneous,17359.75,31-03-2023,3375.18,23.38,10.82,2.02,1.23,18.5,2.5,2.715135135,Non risky,2.910658905,284.0,195.3,447.5,617.3,833.8,805.0,852.9,1595.7,1446.5,1320.5
Cybertech Systems & Software Ltd.,CYBERTECH,IT - Software,17359.75,31-03-2023,2835.92,5.58,17.84,2.18,1.35,30.0,5.0,1.177333333,Non risky,2.050604333,358.6,428.5,414.9,463.3,613.7,578.7,584.3,669.5,715.3,824.9
Cyient Ltd.,CYIENT,IT - Software,17359.75,31-03-2023,110049.77,30.89,32.22,4.07,0.88,30.0,5.0,3.321,Investment Worthy,3.826281484,10515.6,12244.9,12940.1,12462.0,12936.0,14428.0,16682.0,15272.0,14323.0,17547.0
D B Realty Ltd.,DBREALTY,Realty,17359.75,31-03-2023,22713.98,1.0,64.4,0.78,1.74,12.5,1.5,-4.312,Highly risky,1.239587139,430.0,0.0,195.0,1728.7,208.7,43.1,48.4,8.6,1.8,38.5
D-Link (India) Ltd.,DLINKINDIA,IT - Hardware,17359.75,31-03-2023,8281.51,23.8,9.8,2.3,1.52,15.0,2.0,2.056666667,Non risky,3.178090999,3536.6,4875.9,6253.3,7008.5,6872.3,6262.3,6996.4,7459.9,7330.2,9569.2
Dabur India Ltd.,DABUR,FMCG,17359.75,31-03-2023,965433.91,7.72,70.6,15.36,0.59,30.0,6.0,-1.731333333,Highly risky,6.933069121,44061.5,49349.9,55144.8,54333.5,53814.9,55824.4,62363.6,62700.3,71626.3,81986.3
Datamatics Global Services Ltd.,DATAMATICS,IT - Software,17359.75,31-03-2023,16753.4,17.49,16.24,2.18,1.65,30.0,5.0,2.121666667,Non risky,3.533821333,1860.8,2039.3,1885.8,2821.8,3057.2,3378.5,3903.3,4711.8,4576.6,5785.1
De Nora India Ltd.,DENORA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,4521.1,36.26,23.49,4.45,1.2,17.5,2.5,2.303714286,Non risky,4.516640544,678.1,369.7,314.5,523.9,289.1,284.1,338.6,485.6,508.2,742.2
Deccan Cements Ltd.,DECCANCE,Cement,17359.75,31-03-2023,5825.72,34.98,11.89,0.85,1.13,17.5,2.5,4.348571429,Investment Worthy,1.055380475,6554.2,4986.2,5729.9,7554.5,5868.3,5945.1,6515.2,5554.1,7557.1,10029.7
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,17359.75,31-03-2023,251317.82,34.16,53.93,9.57,1.24,20.0,3.5,-0.254785714,Moderately risky,6.80910612,10918.3,13522.6,14101.2,14139.7,13149.4,14568.1,17889.0,22297.0,18096.3,25114.4
Delta Corp Ltd.,DELTACORP,Entertainment,17359.75,31-03-2023,48354.52,8.28,21.83,2.23,1.64,25.0,4.0,0.7573,Non risky,1.678683978,375.4,1157.2,1941.5,2399.5,2779.3,4437.1,5822.6,5597.4,2477.5,4418.1
Den Networks Ltd.,DEN,Entertainment,17359.75,31-03-2023,12789.6,2.76,9.73,0.37,1.16,25.0,4.0,1.6343,Non risky,0.726222116,6951.5,8612.3,8463.4,8703.6,8894.7,10414.2,9866.7,11776.0,12363.6,11334.7
Dev Information Technology Ltd.,DEVIT,IT - Software,17359.75,31-03-2023,2072.5,3.9,24.04,4.92,1.06,30.0,5.0,0.544666667,Moderately risky,4.36026935,431.3,568.5,444.8,449.3,565.3,669.7,727.8,661.4,843.3,990.3
Dhampur Sugar Mills Ltd.,DHAMPURSUG,Sugar,17359.75,31-03-2023,14840.95,21.69,10.31,1.43,1.35,12.0,1.2,1.768166667,Non risky,1.996572142,15233.2,19213.6,19801.4,23116.5,26854.4,33329.7,27545.3,33981.7,22328.7,22030.3
Dhanlaxmi Bank Ltd.,DHANBANK,Banks,17359.75,31-03-2023,3656.02,1.25,11.57,0.45,1.43,12.5,1.5,0.4694,Moderately risky,0.013457291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhanuka Agritech Ltd.,DHANUKA,Agro Chemicals,17359.75,31-03-2023,27866.59,45.5,13.44,2.63,0.97,18.0,2.0,4.518333333,Investment Worthy,3.035494801,6464.2,8290.6,8674.1,9081.7,10010.6,11226.5,11358.3,12440.5,15033.6,15682.7
Dhunseri Investments Ltd.,DHUNINV,Finance,17359.75,31-03-2023,3654.65,11.79,50.83,1.04,1.11,15.0,1.8,-0.897444444,Moderately risky,0.833668007,8.4,8.8,6.8,2.4,2.4,2.4,2.4,2.5,0.0,0.0
