name,ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B,Beta,Industry PE,Industry PB,Risk_Score,risk,alt-score,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Avenue Supermarts Ltd.,DMART,Retail,17359.75,31-03-2023,2204778.2,37.32,91.13,13.36,1.03,22.5,2.5,-3.692222222,Highly risky,10.81651507,15790.3,17920.5,23488.7,30829.3,58040.6,56230.1,70010.4,120915.1,136601.4,154217.8
Canara Bank,CANBK,Banks,17359.75,31-03-2023,516029.35,56.59,5.03,0.78,1.69,12.5,1.5,6.0466,Investment Worthy,-0.049331099,4126741.3,4922659.7,5480005.6,5569702.1,5876022.1,6199992.0,6978685.7,7288579.2,11598105.4,12281048.7
Cummins India Ltd.,CUMMINSIND,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,451725.12,40.66,40.08,8.42,1.08,17.5,2.5,0.327714286,Moderately risky,5.052332826,36995.4,53706.3,60592.4,45928.4,51528.7,56344.4,58902.8,60087.2,57474.4,68499.3
Cupid Ltd.,CUPID,Miscellaneous,17359.75,31-03-2023,3375.18,23.38,10.82,2.02,1.23,18.5,2.5,2.715135135,Non risky,2.910658905,258.5,275.6,349.7,506.9,635.1,785.8,932.7,1655.6,1541.0,1801.9
Cybertech Systems & Software Ltd.,CYBERTECH,IT - Software,17359.75,31-03-2023,2835.92,5.58,17.84,2.18,1.35,30.0,5.0,1.177333333,Non risky,2.050604333,1065.9,1182.9,1211.1,1238.0,1322.4,1342.9,1402.1,1350.9,1419.1,1490.9
Cyient Ltd.,CYIENT,IT - Software,17359.75,31-03-2023,110049.77,30.89,32.22,4.07,0.88,30.0,5.0,3.321,Investment Worthy,3.826281484,16299.0,19446.0,22312.4,23809.0,26957.0,30382.0,33495.0,35310.0,39791.0,42375.0
D B Realty Ltd.,DBREALTY,Realty,17359.75,31-03-2023,22713.98,1.0,64.4,0.78,1.74,12.5,1.5,-4.312,Highly risky,1.239587139,37142.9,37768.7,39008.7,37079.9,37215.8,36585.4,38404.4,36595.9,38546.7,42769.8
D-Link (India) Ltd.,DLINKINDIA,IT - Hardware,17359.75,31-03-2023,8281.51,23.8,9.8,2.3,1.52,15.0,2.0,2.056666667,Non risky,3.178090999,1534.9,1889.4,2632.9,3295.7,2879.0,3392.3,3694.8,4068.7,4709.1,5655.5
Dabur India Ltd.,DABUR,FMCG,17359.75,31-03-2023,965433.91,7.72,70.6,15.36,0.59,30.0,6.0,-1.731333333,Highly risky,6.933069121,33206.7,37350.9,43877.4,52497.6,61723.2,58577.2,56961.7,62456.5,76491.2,86877.3
Datamatics Global Services Ltd.,DATAMATICS,IT - Software,17359.75,31-03-2023,16753.4,17.49,16.24,2.18,1.65,30.0,5.0,2.121666667,Non risky,3.533821333,4137.4,5045.3,5119.8,5448.4,5335.1,5765.1,5962.9,6637.4,6880.3,8435.8
De Nora India Ltd.,DENORA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,4521.1,36.26,23.49,4.45,1.2,17.5,2.5,2.303714286,Non risky,4.516640544,513.2,496.4,504.6,624.3,657.3,653.4,738.8,770.0,813.5,1057.6
Deccan Cements Ltd.,DECCANCE,Cement,17359.75,31-03-2023,5825.72,34.98,11.89,0.85,1.13,17.5,2.5,4.348571429,Investment Worthy,1.055380475,5765.1,5888.0,5508.7,4938.8,5361.4,5596.0,6212.5,7106.7,8617.0,9852.1
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,17359.75,31-03-2023,251317.82,34.16,53.93,9.57,1.24,20.0,3.5,-0.254785714,Moderately risky,6.80910612,8950.9,10670.4,11325.0,12706.5,15942.8,18380.4,18558.7,20842.2,22023.0,26684.6
Delta Corp Ltd.,DELTACORP,Entertainment,17359.75,31-03-2023,48354.52,8.28,21.83,2.23,1.64,25.0,4.0,0.7573,Non risky,1.678683978,7614.5,10518.8,10812.1,10298.0,10956.1,19384.0,21163.8,20707.5,20980.2,22210.7
Den Networks Ltd.,DEN,Entertainment,17359.75,31-03-2023,12789.6,2.76,9.73,0.37,1.16,25.0,4.0,1.6343,Non risky,0.726222116,18315.8,30833.3,30360.6,29836.1,23738.4,23845.4,41871.9,39390.9,38701.2,38938.2
Dev Information Technology Ltd.,DEVIT,IT - Software,17359.75,31-03-2023,2072.5,3.9,24.04,4.92,1.06,30.0,5.0,0.544666667,Moderately risky,4.36026935,247.1,375.1,267.8,308.1,429.5,534.4,530.4,586.5,628.0,675.7
Dhampur Sugar Mills Ltd.,DHAMPURSUG,Sugar,17359.75,31-03-2023,14840.95,21.69,10.31,1.43,1.35,12.0,1.2,1.768166667,Non risky,1.996572142,27691.1,27303.5,31485.7,33374.6,35858.9,33955.5,40817.8,40656.7,39021.1,24442.5
Dhanlaxmi Bank Ltd.,DHANBANK,Banks,17359.75,31-03-2023,3656.02,1.25,11.57,0.45,1.43,12.5,1.5,0.4694,Moderately risky,0.013457291,138311.6,146904.9,143548.2,124659.1,123360.3,122893.6,118017.9,122666.1,130980.1,138001.5
Dhanuka Agritech Ltd.,DHANUKA,Agro Chemicals,17359.75,31-03-2023,27866.59,45.5,13.44,2.63,0.97,18.0,2.0,4.518333333,Investment Worthy,3.035494801,4204.6,5173.1,5939.7,6569.7,7154.6,8246.8,8424.9,9424.5,11450.9,13282.7
Dhunseri Investments Ltd.,DHUNINV,Finance,17359.75,31-03-2023,3654.65,11.79,50.83,1.04,1.11,15.0,1.8,-0.897444444,Moderately risky,0.833668007,1863.1,1934.7,2341.8,2575.2,2691.1,2763.5,2953.1,3047.0,3327.9,3631.4
Dhunseri Ventures Ltd.,DVL,Petrochemicals,17359.75,31-03-2023,7637.15,34.45,6.33,0.53,1.18,12.0,1.5,4.384166667,Investment Worthy,0.039954314,28048.7,29643.8,23017.9,25209.5,8194.3,11673.9,10239.7,9741.0,11864.7,14224.1
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,17359.75,31-03-2023,170419.5,35.46,80.69,15.19,1.16,20.0,2.5,-4.7245,Highly risky,9.071895811,2567.0,2660.6,2828.9,3265.6,5143.0,6851.7,11148.5,14252.5,24233.2,27296.0
Dollar Industries Ltd.,DOLLAR,Textiles,17359.75,31-03-2023,19725.87,9.05,38.45,2.75,1.33,15.0,1.8,-1.516111111,Moderately risky,2.451702707,3384.0,3470.6,4216.4,5170.8,5474.5,7009.3,8489.7,8484.3,8783.8,11653.5
Donear Industries Ltd.,DONEAR,Textiles,17359.75,31-03-2023,4191.2,6.97,11.57,2.45,1.37,15.0,1.8,0.194555556,Moderately risky,2.022138091,4120.1,4344.6,4456.0,4006.7,4153.1,4854.0,5131.2,4969.6,4790.4,6339.3
Ducon Infratechnologies Ltd.,DUCON,IT - Software,17359.75,31-03-2023,1442.67,0.15,37.18,0.96,1.49,30.0,5.0,0.093666667,Moderately risky,0.97416406,327.1,373.7,377.8,346.7,2416.1,2569.3,2717.9,2760.4,2749.8,2813.6
Dynacons Systems & Solutions Ltd.,DSSL,IT - Software,17359.75,31-03-2023,3973.57,26.3,11.9,3.83,1.13,30.0,5.0,3.337333333,Investment Worthy,4.296545503,299.6,345.1,337.1,497.2,531.3,695.6,982.5,1223.8,1809.5,2993.2
Dynamatic Technologies Ltd.,DYNAMATECH,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,18760.68,42.92,64.36,3.66,1.29,17.5,2.5,0.860285714,Non risky,2.514758531,6772.8,6437.2,7645.0,7784.9,12475.6,13380.6,12878.5,10785.9,10276.5,10191.8
Edelweiss Financial Services Ltd.,EDELWEISS,Finance,17359.75,31-03-2023,49616.28,25.32,2.08,0.68,1.49,15.0,1.8,3.525555556,Investment Worthy,0.639476676,21759.5,23365.0,66246.4,27403.0,28532.0,37707.6,38099.4,36831.2,59928.0,80480.3
Eicher Motors Ltd.,EICHERMOT,Automobile,17359.75,31-03-2023,806456.13,95.88,30.76,6.26,1.15,14.0,1.7,5.558504202,Investment Worthy,4.055082734,10297.8,14900.1,22360.7,45284.0,55531.7,78163.9,95000.8,106001.6,126731.2,142991.3
