name,ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B,Beta,Industry PE,Industry PB,Risk_Score,risk,alt-score,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Avenue Supermarts Ltd.,DMART,Retail,17359.75,31-03-2023,2204778.2,37.32,91.13,13.36,1.03,22.5,2.5,-3.692222222,Highly risky,10.81651507,36197.1,46458.5,64089.5,90776.4,126378.6,160551.4,214782.8,261352.8,253661.2,321843.5
Canara Bank,CANBK,Banks,17359.75,31-03-2023,516029.35,56.59,5.03,0.78,1.69,12.5,1.5,6.0466,Investment Worthy,-0.049331099,347720.2,413575.9,464272.1,525797.6,482575.5,554375.5,562960.5,592657.4,820233.6,804618.5
Cummins India Ltd.,CUMMINSIND,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,451725.12,40.66,40.08,8.42,1.08,17.5,2.5,0.327714286,Moderately risky,5.052332826,44040.0,39080.1,42626.8,45653.6,48841.7,46971.7,53278.5,48736.2,41362.3,57888.7
Cupid Ltd.,CUPID,Miscellaneous,17359.75,31-03-2023,3375.18,23.38,10.82,2.02,1.23,18.5,2.5,2.715135135,Non risky,2.910658905,276.7,209.8,365.4,469.0,639.6,672.9,721.9,1324.8,1189.1,1208.4
Cybertech Systems & Software Ltd.,CYBERTECH,IT - Software,17359.75,31-03-2023,2835.92,5.58,17.84,2.18,1.35,30.0,5.0,1.177333333,Non risky,2.050604333,354.9,401.3,416.0,455.2,569.5,579.0,549.0,580.4,659.9,759.8
Cyient Ltd.,CYIENT,IT - Software,17359.75,31-03-2023,110049.77,30.89,32.22,4.07,0.88,30.0,5.0,3.321,Investment Worthy,3.826281484,9062.3,10569.3,11343.8,11291.0,11547.0,12448.0,13550.0,14018.0,12472.0,14606.0
D B Realty Ltd.,DBREALTY,Realty,17359.75,31-03-2023,22713.98,1.0,64.4,0.78,1.74,12.5,1.5,-4.312,Highly risky,1.239587139,565.1,876.5,963.2,2258.1,1402.9,2237.9,1888.7,2032.2,2475.9,4163.1
D-Link (India) Ltd.,DLINKINDIA,IT - Hardware,17359.75,31-03-2023,8281.51,23.8,9.8,2.3,1.52,15.0,2.0,2.056666667,Non risky,3.178090999,3442.5,4940.6,6206.4,6986.9,6429.6,6179.2,6955.5,7407.7,7013.1,9290.6
Dabur India Ltd.,DABUR,FMCG,17359.75,31-03-2023,965433.91,7.72,70.6,15.36,0.59,30.0,6.0,-1.731333333,Highly risky,6.933069121,38767.5,43761.1,49185.9,47035.6,46543.4,48968.2,52737.5,54862.4,62625.6,71210.8
Datamatics Global Services Ltd.,DATAMATICS,IT - Software,17359.75,31-03-2023,16753.4,17.49,16.24,2.18,1.65,30.0,5.0,2.121666667,Non risky,3.533821333,1709.8,1810.0,1711.3,2706.5,3005.6,3198.3,3701.0,4525.7,4600.7,5221.4
De Nora India Ltd.,DENORA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,4521.1,36.26,23.49,4.45,1.2,17.5,2.5,2.303714286,Non risky,4.516640544,542.2,326.2,280.0,445.1,275.5,293.3,424.5,433.0,468.8,569.8
Deccan Cements Ltd.,DECCANCE,Cement,17359.75,31-03-2023,5825.72,34.98,11.89,0.85,1.13,17.5,2.5,4.348571429,Investment Worthy,1.055380475,6593.0,4987.5,5524.8,7083.0,5456.1,5530.7,6129.3,5131.9,6472.6,9216.1
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,17359.75,31-03-2023,251317.82,34.16,53.93,9.57,1.24,20.0,3.5,-0.254785714,Moderately risky,6.80910612,10689.2,13508.1,13549.9,13631.1,12899.2,14064.3,17108.9,16899.0,14825.2,21811.3
Delta Corp Ltd.,DELTACORP,Entertainment,17359.75,31-03-2023,48354.52,8.28,21.83,2.23,1.64,25.0,4.0,0.7573,Non risky,1.678683978,140.8,1200.0,1732.2,2094.2,2304.3,3643.1,4654.1,4946.0,2463.8,3840.2
Den Networks Ltd.,DEN,Entertainment,17359.75,31-03-2023,12789.6,2.76,9.73,0.37,1.16,25.0,4.0,1.6343,Non risky,0.726222116,6810.8,9319.0,10549.9,13450.8,11924.0,11446.3,13244.4,12969.6,11846.3,10885.9
Dev Information Technology Ltd.,DEVIT,IT - Software,17359.75,31-03-2023,2072.5,3.9,24.04,4.92,1.06,30.0,5.0,0.544666667,Moderately risky,4.36026935,438.6,542.9,407.5,454.5,552.9,658.8,680.8,687.6,879.3,942.1
Dhampur Sugar Mills Ltd.,DHAMPURSUG,Sugar,17359.75,31-03-2023,14840.95,21.69,10.31,1.43,1.35,12.0,1.2,1.768166667,Non risky,1.996572142,20657.7,19316.9,20136.1,23403.8,26902.1,28555.6,30350.9,32065.4,40077.8,23018.4
Dhanlaxmi Bank Ltd.,DHANBANK,Banks,17359.75,31-03-2023,3656.02,1.25,11.57,0.45,1.43,12.5,1.5,0.4694,Moderately risky,0.013457291,14260.7,16180.4,16647.0,14936.0,12006.4,11453.8,10603.6,10418.8,10378.1,10903.1
Dhanuka Agritech Ltd.,DHANUKA,Agro Chemicals,17359.75,31-03-2023,27866.59,45.5,13.44,2.63,0.97,18.0,2.0,4.518333333,Investment Worthy,3.035494801,5901.5,8034.7,7583.6,8460.3,9598.9,9528.2,11334.8,11389.2,13614.0,14039.0
Dhunseri Investments Ltd.,DHUNINV,Finance,17359.75,31-03-2023,3654.65,11.79,50.83,1.04,1.11,15.0,1.8,-0.897444444,Moderately risky,0.833668007,14.6,18.4,68.8,35.2,20.6,32.1,31.8,20.7,123.4,33.6
Dhunseri Ventures Ltd.,DVL,Petrochemicals,17359.75,31-03-2023,7637.15,34.45,6.33,0.53,1.18,12.0,1.5,4.384166667,Investment Worthy,0.039954314,26906.3,41949.6,29431.9,27848.9,586.5,9952.8,6760.5,444.6,485.0,631.9
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,17359.75,31-03-2023,170419.5,35.46,80.69,15.19,1.16,20.0,2.5,-4.7245,Highly risky,9.071895811,7216.5,10938.8,11401.3,12675.2,16522.4,21923.3,24785.9,36016.6,55250.7,73488.7
Dollar Industries Ltd.,DOLLAR,Textiles,17359.75,31-03-2023,19725.87,9.05,38.45,2.75,1.33,15.0,1.8,-1.516111111,Moderately risky,2.451702707,5996.4,6663.8,7167.4,8688.3,8326.3,9263.3,9992.3,9293.5,10350.3,14469.4
Donear Industries Ltd.,DONEAR,Textiles,17359.75,31-03-2023,4191.2,6.97,11.57,2.45,1.37,15.0,1.8,0.194555556,Moderately risky,2.022138091,4146.0,4935.2,5143.0,5221.0,4945.3,5352.0,5899.9,5312.7,3468.3,6501.2
Ducon Infratechnologies Ltd.,DUCON,IT - Software,17359.75,31-03-2023,1442.67,0.15,37.18,0.96,1.49,30.0,5.0,0.093666667,Moderately risky,0.97416406,315.4,327.3,340.4,327.3,3944.8,4136.2,3887.8,3756.6,3420.7,1240.5
Dynacons Systems & Solutions Ltd.,DSSL,IT - Software,17359.75,31-03-2023,3973.57,26.3,11.9,3.83,1.13,30.0,5.0,3.337333333,Investment Worthy,4.296545503,576.0,772.0,1066.5,1229.7,1601.6,2142.6,3037.0,3159.9,4623.3,6678.2
Dynamatic Technologies Ltd.,DYNAMATECH,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,18760.68,42.92,64.36,3.66,1.29,17.5,2.5,0.860285714,Non risky,2.514758531,4739.0,4859.8,5246.7,4903.1,5460.5,4925.4,6635.4,8227.1,4869.0,5623.2
Edelweiss Financial Services Ltd.,EDELWEISS,Finance,17359.75,31-03-2023,49616.28,25.32,2.08,0.68,1.49,15.0,1.8,3.525555556,Investment Worthy,0.639476676,1132.7,1426.3,1401.0,1847.8,3218.8,3027.4,2332.2,1810.9,10196.2,5103.8
Eicher Motors Ltd.,EICHERMOT,Automobile,17359.75,31-03-2023,806456.13,95.88,30.76,6.26,1.15,14.0,1.7,5.558504202,Investment Worthy,4.055082734,11061.4,17550.1,29308.0,60227.3,66482.2,79217.1,84928.0,78457.7,81923.3,92044.1
Eimco Elecon (India) Ltd.,EIMCOELECO,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,2054.7,35.28,10.1,0.59,1.15,17.5,2.5,4.564857143,Investment Worthy,1.439481915,1794.4,1724.3,1984.4,1477.8,1669.9,1411.3,1654.2,1251.6,1125.0,1177.1
Electrosteel Castings Ltd.,ELECTCAST,"Castings, Forgings & Fastners",17359.75,31-03-2023,19086.83,5.64,5.69,0.45,1.35,16.0,2.0,1.633375,Non risky,1.406320628,20076.6,22289.6,22209.4,20339.9,19502.0,21274.6,31601.7,24368.9,29711.2,50332.6
Elgi Equipments Ltd.,ELGIEQUIP,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,138853.69,8.27,52.99,11.36,1.28,17.5,2.5,-5.025,Highly risky,7.54156078,8137.5,8085.1,7727.2,9197.7,8924.2,9802.9,11058.6,10492.2,10077.4,14638.1
Emami Ltd.,EMAMILTD,FMCG,17359.75,31-03-2023,158174.33,13.39,26.77,6.99,0.94,30.0,6.0,1.341666667,Non risky,5.895476633,15067.5,15157.9,17750.5,19808.5,21111.7,21700.9,22351.3,21984.4,22193.7,24211.9
Emami Paper Mills Ltd.,EMAMIPAP,Paper,17359.75,31-03-2023,6775.89,11.26,9.95,1.49,1.4,13.5,1.6,1.057712963,Non risky,1.64083409,5094.9,5545.6,5454.0,5195.4,12159.1,13256.7,15826.6,14806.0,12138.4,18471.4
Emkay Global Financial Services Ltd.,EMKAY,Stock/ Commodity Brokers,17359.75,31-03-2023,1574.51,4.26,15.0,1.04,1.78,17.0,2.2,0.290919786,Moderately risky,0.146145547,887.5,753.4,1238.7,858.4,920.8,1151.2,1266.5,1352.2,1407.0,1704.4
Emkay Taps & Cutting Tools Ltd.,EMKAYTOOLS,Engineering,17359.75,31-03-2023,3137.36,41.35,7.11,1.39,0.83,16.5,2.2,5.242272727,Investment Worthy,2.116257542,0.0,304.9,385.6,435.7,455.1,522.6,777.7,468.1,538.4,682.4
Emmbi Industries Ltd.,EMMBI,Packaging,17359.75,31-03-2023,1373.65,4.7,16.51,0.85,1.49,17.0,2.3,0.639258312,Moderately risky,1.682834448,1541.5,1714.4,1944.6,2111.7,2316.7,2646.3,3020.8,3287.9,3233.5,5014.4
Endurance Technologies Ltd.,ENDURANCE,Auto Ancillaries,17359.75,31-03-2023,174654.03,28.58,43.45,5.24,1.0,18.5,2.4,0.326018018,Moderately risky,5.093850684,26642.3,33162.6,37189.8,38882.7,41155.8,43624.1,50832.0,45282.5,44659.1,54137.4
Equitas Small Finance Bank Ltd.,EQUITAS,Finance,17359.75,31-03-2023,74518.45,3.65,18.39,1.44,1.12,15.0,1.8,0.219,Moderately risky,0.109790841,437.4,1159.0,2623.1,3942.3,11477.1,17672.1,21843.8,26844.6,33278.7,37168.0
Eris Lifesciences Ltd.,ERIS,Pharmaceuticals,17359.75,31-03-2023,77801.16,29.27,19.55,3.51,0.44,25.0,3.5,3.702142857,Investment Worthy,2.907545245,4103.4,4813.3,4796.2,5150.3,4829.5,4987.2,6570.6,7269.9,7808.0,8250.4
Esab India Ltd.,ESABINDIA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,54381.23,85.04,41.54,20.89,1.0,17.5,2.5,-0.225714286,Moderately risky,12.31284923,5274.4,4477.3,5835.6,4777.5,5057.0,5328.9,6404.7,6525.3,6368.0,8407.8
Ester Industries Ltd.,ESTER,Packaging,17359.75,31-03-2023,7246.92,19.49,4.46,0.94,1.38,17.0,2.3,2.897951407,Non risky,2.013509441,9654.2,10150.2,9785.1,8515.4,7754.4,8123.5,10053.4,9383.9,8642.9,13096.2
Excel Industries Ltd.,EXCEL,IT - Software,17359.75,31-03-2023,9994.33,60.88,13.06,1.01,1.33,30.0,5.0,7.120666667,Investment Worthy,1.183605168,4153.9,4465.2,5121.7,4497.8,4842.3,5606.2,6858.1,6253.9,6812.7,10518.4
Exide Industries Ltd.,EXIDEIND,Auto Ancillaries,17359.75,31-03-2023,151257.5,10.53,16.9,1.35,0.96,18.5,2.4,1.616986486,Non risky,1.967353549,65505.0,64116.6,73841.6,69299.2,82375.0,91136.8,99310.1,93546.7,97569.6,132113.8
Expleo Solutions Ltd.,EXPLEOSOL,IT - Software,17359.75,31-03-2023,12598.77,117.71,10.44,2.69,1.19,30.0,5.0,12.695,Investment Worthy,4.199416776,1437.7,1776.4,1973.8,2373.9,2385.4,2564.9,2568.8,2412.2,2605.7,6865.6
Federal Bank Ltd.,FEDERALBNK,Banks,17359.75,31-03-2023,279973.41,13.53,9.78,1.3,1.41,12.5,1.5,1.293933333,Non risky,0.084634523,60353.4,68851.4,74438.4,80810.3,89284.1,100544.3,115261.7,136053.2,141263.1,139429.5
Federal-Mogul Goetze (India) Ltd.,FMGOETZE,Auto Ancillaries,17359.75,31-03-2023,16995.62,15.91,19.2,1.87,0.9,18.5,2.4,1.873995495,Non risky,2.245543945,13411.5,12682.9,17064.4,14519.8,13312.2,12707.6,12933.1,10398.6,10946.5,12849.0
Fiem Industries Ltd.,FIEMIND,Auto Ancillaries,17359.75,31-03-2023,20605.66,106.59,14.69,2.71,1.28,18.5,2.4,10.45577928,Investment Worthy,3.441510903,6403.6,7494.0,8674.7,10423.8,11285.2,12539.6,13944.5,12764.2,11654.8,14781.3
Filatex India Ltd.,FILATEX,Textiles,17359.75,31-03-2023,14198.51,2.03,15.79,1.28,1.65,15.0,1.8,-0.210777778,Moderately risky,2.209655629,13993.7,19627.4,17383.8,14090.1,17276.4,19393.5,28089.6,27341.4,21224.7,35950.4
Fineotex Chemical Ltd.,FCL,Chemicals,17359.75,31-03-2023,25815.46,4.7,49.57,9.58,1.87,20.0,3.5,-3.615642857,Highly risky,7.463292377,424.4,578.3,644.5,645.3,710.8,791.1,977.8,1224.5,1104.9,2138.4
Finolex Cables Ltd.,FINCABLES,Cables,17359.75,31-03-2023,124278.51,32.81,24.77,3.38,1.26,14.5,1.8,1.43494636,Non risky,3.029393574,23321.1,23827.2,24050.9,24121.7,25857.4,26908.2,29514.4,26482.7,27169.2,34365.1
Finolex Industries Ltd.,FINPIPE,Plastic products,17359.75,31-03-2023,105853.36,3.45,49.39,2.19,1.14,15.5,2.0,-2.076451613,Highly risky,1.468743903,23624.3,27230.9,27457.1,26194.7,27196.2,26213.5,28544.2,28027.6,28304.1,40204.7
Firstsource Solutions Ltd.,FSL,IT - Software,17359.75,31-03-2023,73532.53,3.56,29.65,3.19,1.36,30.0,5.0,0.369666667,Moderately risky,2.983563205,9380.8,8532.5,7736.2,7493.2,7687.1,6837.6,6324.4,7886.9,9910.8,12373.8
Fortis Healthcare Ltd.,FORTIS,Healthcare,17359.75,31-03-2023,196213.62,0.54,480.44,2.19,0.62,22.0,3.0,-20.13418182,Highly risky,1.519550463,5262.8,5745.6,8672.9,8365.0,8890.1,8700.6,10579.1,11268.6,8840.6,10099.4
Foseco India Ltd.,FOSECOIND,Chemicals,17359.75,31-03-2023,14044.46,72.79,30.21,5.55,0.86,20.0,3.5,6.322785714,Investment Worthy,4.999768113,2547.4,2389.9,2699.9,2975.0,3498.5,3499.2,3351.5,3007.1,2366.2,3135.3
