name,ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B,Beta,Industry PE,Industry PB,Risk_Score,risk,alt-score,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Avenue Supermarts Ltd.,DMART,Retail,17359.75,31-03-2023,2204778.2,37.32,91.13,13.36,1.03,22.5,2.5,-3.692222222,Highly risky,10.81651507,36395.8,46993.1,64544.0,92652.7,128475.4,166259.4,219854.5,271519.6,262735.3,333809.6
Canara Bank,CANBK,Banks,17359.75,31-03-2023,516029.35,56.59,5.03,0.78,1.69,12.5,1.5,6.0466,Investment Worthy,-0.049331099,376441.2,437957.8,491298.3,497669.4,493794.7,512153.1,566430.7,570300.2,845809.4,861402.6
Cummins India Ltd.,CUMMINSIND,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,451725.12,40.66,40.08,8.42,1.08,17.5,2.5,0.327714286,Moderately risky,5.052332826,51683.0,45028.7,49959.4,53177.5,56401.6,54456.5,60110.0,55364.0,47354.8,66393.1
Cupid Ltd.,CUPID,Miscellaneous,17359.75,31-03-2023,3375.18,23.38,10.82,2.02,1.23,18.5,2.5,2.715135135,Non risky,2.910658905,291.5,200.2,451.4,628.1,844.5,821.3,879.5,1647.4,1497.4,1370.3
Cybertech Systems & Software Ltd.,CYBERTECH,IT - Software,17359.75,31-03-2023,2835.92,5.58,17.84,2.18,1.35,30.0,5.0,1.177333333,Non risky,2.050604333,466.7,488.2,497.7,481.9,657.5,598.6,604.1,686.3,816.8,855.5
Cyient Ltd.,CYIENT,IT - Software,17359.75,31-03-2023,110049.77,30.89,32.22,4.07,0.88,30.0,5.0,3.321,Investment Worthy,3.826281484,10905.7,13118.4,14055.4,13626.0,13916.0,16466.0,17957.0,16498.0,15253.0,20297.0
D B Realty Ltd.,DBREALTY,Realty,17359.75,31-03-2023,22713.98,1.0,64.4,0.78,1.74,12.5,1.5,-4.312,Highly risky,1.239587139,630.5,208.4,437.9,2708.2,1494.8,1272.7,578.6,498.1,3285.1,3169.8
D-Link (India) Ltd.,DLINKINDIA,IT - Hardware,17359.75,31-03-2023,8281.51,23.8,9.8,2.3,1.52,15.0,2.0,2.056666667,Non risky,3.178090999,3543.3,4887.0,6270.2,7022.4,6893.6,6288.6,7006.2,7582.6,7391.5,9626.6
Dabur India Ltd.,DABUR,FMCG,17359.75,31-03-2023,965433.91,7.72,70.6,15.36,0.59,30.0,6.0,-1.731333333,Highly risky,6.933069121,44933.4,50358.8,56489.2,56170.5,56444.8,58948.4,65481.3,65867.0,74677.4,85334.3
Datamatics Global Services Ltd.,DATAMATICS,IT - Software,17359.75,31-03-2023,16753.4,17.49,16.24,2.18,1.65,30.0,5.0,2.121666667,Non risky,3.533821333,2003.5,2223.9,1964.7,3030.0,3253.5,3605.0,3993.4,4928.8,5163.8,6332.6
De Nora India Ltd.,DENORA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,4521.1,36.26,23.49,4.45,1.2,17.5,2.5,2.303714286,Non risky,4.516640544,693.8,380.8,335.4,555.9,309.0,305.1,367.7,508.0,523.7,751.3
Deccan Cements Ltd.,DECCANCE,Cement,17359.75,31-03-2023,5825.72,34.98,11.89,0.85,1.13,17.5,2.5,4.348571429,Investment Worthy,1.055380475,6579.1,5006.3,5756.1,7576.5,5891.4,5985.0,6613.0,5649.0,7680.6,10139.2
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,17359.75,31-03-2023,251317.82,34.16,53.93,9.57,1.24,20.0,3.5,-0.254785714,Moderately risky,6.80910612,11077.9,13541.9,14199.7,14217.2,14009.8,14937.8,17972.6,22372.4,18298.8,25818.5
Delta Corp Ltd.,DELTACORP,Entertainment,17359.75,31-03-2023,48354.52,8.28,21.83,2.23,1.64,25.0,4.0,0.7573,Non risky,1.678683978,705.5,1830.5,2056.1,2465.2,2830.5,4688.7,6487.3,5941.6,3331.3,4609.9
Den Networks Ltd.,DEN,Entertainment,17359.75,31-03-2023,12789.6,2.76,9.73,0.37,1.16,25.0,4.0,1.6343,Non risky,0.726222116,7260.4,9370.7,9441.8,9883.8,9761.4,11136.5,11053.6,13832.6,14305.3,12781.3
Dev Information Technology Ltd.,DEVIT,IT - Software,17359.75,31-03-2023,2072.5,3.9,24.04,4.92,1.06,30.0,5.0,0.544666667,Moderately risky,4.36026935,432.5,571.2,449.1,453.1,569.1,674.0,733.1,705.6,848.6,1000.6
Dhampur Sugar Mills Ltd.,DHAMPURSUG,Sugar,17359.75,31-03-2023,14840.95,21.69,10.31,1.43,1.35,12.0,1.2,1.768166667,Non risky,1.996572142,15402.6,19274.5,20182.8,23459.0,26953.3,33508.4,27862.5,34465.1,43226.4,22094.8
Dhanlaxmi Bank Ltd.,DHANBANK,Banks,17359.75,31-03-2023,3656.02,1.25,11.57,0.45,1.43,12.5,1.5,0.4694,Moderately risky,0.013457291,14286.9,13661.3,14232.3,12841.5,12130.2,11205.1,10720.3,11076.6,10750.0,11262.1
Dhanuka Agritech Ltd.,DHANUKA,Agro Chemicals,17359.75,31-03-2023,27866.59,45.5,13.44,2.63,0.97,18.0,2.0,4.518333333,Investment Worthy,3.035494801,6533.6,8434.8,8871.3,9460.5,10183.0,11431.6,12239.2,12690.4,15369.6,16017.8
Dhunseri Investments Ltd.,DHUNINV,Finance,17359.75,31-03-2023,3654.65,11.79,50.83,1.04,1.11,15.0,1.8,-0.897444444,Moderately risky,0.833668007,84.0,98.2,278.2,207.2,149.0,158.8,101.9,122.1,157.9,136.4
Dhunseri Ventures Ltd.,DVL,Petrochemicals,17359.75,31-03-2023,7637.15,34.45,6.33,0.53,1.18,12.0,1.5,4.384166667,Investment Worthy,0.039954314,26158.7,42966.8,30235.4,28210.8,365.9,9611.2,7976.8,622.9,1716.6,2331.1
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,17359.75,31-03-2023,170419.5,35.46,80.69,15.19,1.16,20.0,2.5,-4.7245,Highly risky,9.071895811,7248.7,11022.6,11403.6,12912.2,16767.9,22196.7,25299.5,36806.9,56782.3,74870.3
Dollar Industries Ltd.,DOLLAR,Textiles,17359.75,31-03-2023,19725.87,9.05,38.45,2.75,1.33,15.0,1.8,-1.516111111,Moderately risky,2.451702707,6071.1,6922.8,7305.5,8299.6,8875.3,9275.8,10334.1,10127.9,11029.2,14378.4
Donear Industries Ltd.,DONEAR,Textiles,17359.75,31-03-2023,4191.2,6.97,11.57,2.45,1.37,15.0,1.8,0.194555556,Moderately risky,2.022138091,4088.5,4791.5,5253.4,5212.2,5068.2,5169.0,5970.4,5537.1,3617.4,5817.4
Ducon Infratechnologies Ltd.,DUCON,IT - Software,17359.75,31-03-2023,1442.67,0.15,37.18,0.96,1.49,30.0,5.0,0.093666667,Moderately risky,0.97416406,321.6,318.8,360.6,326.4,3990.5,4159.5,3951.2,3815.6,3424.9,1248.8
Dynacons Systems & Solutions Ltd.,DSSL,IT - Software,17359.75,31-03-2023,3973.57,26.3,11.9,3.83,1.13,30.0,5.0,3.337333333,Investment Worthy,4.296545503,587.0,776.5,1053.5,1247.0,1588.3,2115.3,3049.1,3301.8,4378.0,6558.4
Dynamatic Technologies Ltd.,DYNAMATECH,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,18760.68,42.92,64.36,3.66,1.29,17.5,2.5,0.860285714,Non risky,2.514758531,4707.7,4876.2,5367.2,4638.8,5473.1,4947.9,7032.6,6079.1,5181.4,6161.4
Edelweiss Financial Services Ltd.,EDELWEISS,Finance,17359.75,31-03-2023,49616.28,25.32,2.08,0.68,1.49,15.0,1.8,3.525555556,Investment Worthy,0.639476676,1600.6,2159.3,2515.8,3403.7,4508.9,4410.0,3361.0,2636.7,17358.3,14437.4
Eicher Motors Ltd.,EICHERMOT,Automobile,17359.75,31-03-2023,806456.13,95.88,30.76,6.26,1.15,14.0,1.7,5.558504202,Investment Worthy,4.055082734,12296.3,20016.7,34465.5,72787.3,81937.4,96031.5,103487.8,98599.4,93672.7,107668.7
Eimco Elecon (India) Ltd.,EIMCOELECO,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,2054.7,35.28,10.1,0.59,1.15,17.5,2.5,4.564857143,Investment Worthy,1.439481915,1866.3,2102.5,2146.4,1570.8,1989.0,1522.5,1957.3,1186.0,1374.9,969.6
