name,ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B,Beta,Industry PE,Industry PB,Risk_Score,risk,alt-score,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Avenue Supermarts Ltd.,DMART,Retail,17359.75,31-03-2023,2204778.2,37.32,91.13,13.36,1.03,22.5,2.5,-3.692222222,Highly risky,10.81651507,0.0,0.0,0.0,0.0,0.0,109.35,39.54,390.7,80.02,60.61
Canara Bank,CANBK,Banks,17359.75,31-03-2023,516029.35,56.59,5.03,0.78,1.69,12.5,1.5,6.0466,Investment Worthy,-0.049331099,30.42,111.68,127.19,66.45,48.73,76.25,48.86,44.73,287.78,377.47
Cummins India Ltd.,CUMMINSIND,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,451725.12,40.66,40.08,8.42,1.08,17.5,2.5,0.327714286,Moderately risky,5.052332826,17.77,54.81,11.99,38.09,18.38,17.53,7.2,23.26,140.4,10.91
Cupid Ltd.,CUPID,Miscellaneous,17359.75,31-03-2023,3375.18,23.38,10.82,2.02,1.23,18.5,2.5,2.715135135,Non risky,2.910658905,0.18,0.01,10.84,30.11,4.41,8.13,0.18,1.41,1.04,0.7
Cybertech Systems & Software Ltd.,CYBERTECH,IT - Software,17359.75,31-03-2023,2835.92,5.58,17.84,2.18,1.35,30.0,5.0,1.177333333,Non risky,2.050604333,0.07,2.74,0.49,0.29,6.02,0.84,0.04,0.14,1.5,11.94
Cyient Ltd.,CYIENT,IT - Software,17359.75,31-03-2023,110049.77,30.89,32.22,4.07,0.88,30.0,5.0,3.321,Investment Worthy,3.826281484,0.49,0.37,3.21,0.48,1.56,26.3,6.84,0.8,50.3,7.84
D B Realty Ltd.,DBREALTY,Realty,17359.75,31-03-2023,22713.98,1.0,64.4,0.78,1.74,12.5,1.5,-4.312,Highly risky,1.239587139,39.58,6.32,74.61,2.27,1.04,11.61,0.67,0.23,1.84,36.85
D-Link (India) Ltd.,DLINKINDIA,IT - Hardware,17359.75,31-03-2023,8281.51,23.8,9.8,2.3,1.52,15.0,2.0,2.056666667,Non risky,3.178090999,0.77,1.86,2.8,0.56,6.27,9.07,0.18,1.38,1.43,8.49
Dabur India Ltd.,DABUR,FMCG,17359.75,31-03-2023,965433.91,7.72,70.6,15.36,0.59,30.0,6.0,-1.731333333,Highly risky,6.933069121,58.61,9.93,53.42,14.39,29.47,98.98,250.51,290.42,104.77,19.11
Datamatics Global Services Ltd.,DATAMATICS,IT - Software,17359.75,31-03-2023,16753.4,17.49,16.24,2.18,1.65,30.0,5.0,2.121666667,Non risky,3.533821333,0.17,3.68,2.01,3.56,48.34,3.59,4.11,0.7,3.04,7.07
De Nora India Ltd.,DENORA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,4521.1,36.26,23.49,4.45,1.2,17.5,2.5,2.303714286,Non risky,4.516640544,0.21,0.17,0.27,1.14,0.16,124.7,0.04,0.17,0.98,0.97
Deccan Cements Ltd.,DECCANCE,Cement,17359.75,31-03-2023,5825.72,34.98,11.89,0.85,1.13,17.5,2.5,4.348571429,Investment Worthy,1.055380475,0.03,0.03,0.01,3.36,0.65,0.07,0.05,0.32,0.74,3.34
