Company Name,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B ,NIFTY closing ,Date ,Market Capitalisation,EPS ,P/E ,P/B 
20 Microns Ltd.,5682.55,28-03-2013,991.02,2.96,10.59,1.5,6704.2,31-03-2014,1053.37,-0.25,,1.42,8491,31-03-2015,1203.85,-1.73,,1.73,7738.4,31-03-2016,993.32,2.8,10.06,1.18,9173.75,31-03-2017,1235.03,3.68,9.5,1.05,10113.7,28-03-2018,1732.57,3.91,12.55,1.35,11623.9,29-03-2019,1347.94,5.54,6.89,0.91,8597.75,31-03-2020,901.57,6.77,3.77,0.52,14690.7,31-03-2021,1240.32,6.41,5.48,0.62,17464.75,31-03-2022,2605.91,8.65,8.53,1.12,17359.75,31-03-2023,2621.79,10.21,7.28,0.97
360 One Wam Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8597.75,31-03-2020,87686.69,28.7,35.05,3.77,14690.7,31-03-2021,108921.91,72.84,17.01,4.48,17464.75,31-03-2022,148044.45,45.88,36.38,6.1,17359.75,31-03-2023,153367.77,13.92,30.93,6.64
3I Infotech Ltd.,5682.55,28-03-2013,3172.13,-8.11,,0.28,6704.2,31-03-2014,4437.99,-7.66,,0.83,8491,31-03-2015,3501.76,-17.49,,,7738.4,31-03-2016,2659.34,-7.4,,,9173.75,31-03-2017,5977.44,0.78,6.46,,10113.7,28-03-2018,8157.56,0.2,24.73,,11623.9,29-03-2019,6224.08,-0.1,,2.88,8597.75,31-03-2020,2101.65,0.32,4.02,0.56,14690.7,31-03-2021,12044.08,-0.22,,1.56,17464.75,31-03-2022,8607.06,0.93,55.35,1.07,17359.75,31-03-2023,4624.39,2.24,12.25,0.54
3M India Ltd.,5682.55,28-03-2013,42317.24,35.89,104.67,6.29,6704.2,31-03-2014,39738.1,34.03,103.65,5.68,8491,31-03-2015,89391.71,96.59,82.15,11.07,7738.4,31-03-2016,120817.31,170.94,62.74,12.23,9173.75,31-03-2017,130309.26,207.27,55.81,10.63,10113.7,28-03-2018,218687.11,266.85,72.75,15.15,11623.9,29-03-2019,273300.17,313.05,77.5,15.17,8597.75,31-03-2020,212098.17,249.87,75.35,10.22,14690.7,31-03-2021,342870.99,130.45,233.32,15.43,17464.75,31-03-2022,221891.46,229.45,85.84,8.92,17359.75,31-03-2023,258689.38,356.84,64.35,13.28
3P Land Holdings Ltd.,5633.85,25-03-2013,162,0.6,15,0.4,6704.2,31-03-2014,132.3,0.39,18.9,0.32,8491,31-03-2015,243,0.03,405,0.56,7738.4,31-03-2016,182.7,-0.18,,0.54,9173.75,31-03-2017,194.4,-0.04,,0.57,10113.7,28-03-2018,227.7,0,,0.67,11623.9,29-03-2019,201.6,-0.02,,0.6,8597.75,31-03-2020,63.9,0.18,19.97,0.21,14690.7,31-03-2021,154.8,-0.23,,0.32,17464.75,31-03-2022,261,0.66,22.12,0.38,17359.75,31-03-2023,361.8,0.86,23.49,0.53
3Rd Rock Multimedia Ltd.,,,,,,,,,,,,,8492.3,30-03-2015,4234.47,0.4,475.78,17.97,7931.35,02-12-2015,2933.72,0.04,2933.72,12.44,,,,,,,10458.35,01-03-2018,1878.48,0.11,751.39,7.83,10460.1,10-10-2018,1531.62,0.11,638.17,6.32,8317.85,25-03-2020,1455.03,0.05,1322.76,5.99,9029.05,26-05-2020,1455.03,0.19,338.38,5.88,,,,,,,17107.5,21-03-2023,1378.45,,,5.57
5Paisa Capital Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10113.7,28-03-2018,4254.83,-19.03,,6.09,11623.9,29-03-2019,3033.16,-17.44,,6.79,8597.75,31-03-2020,2882.8,-3.1,,2.09,14690.7,31-03-2021,6371.32,6.78,36.81,4.01,17464.75,31-03-2022,10140.15,5.05,68.24,2.8,17359.75,31-03-2023,8669.87,14.13,20.02,1.86
63 Moons Technologies Ltd.,5682.55,28-03-2013,32835.57,114.32,6.23,1.25,6704.2,31-03-2014,17214.94,-50.7,,0.71,8491,31-03-2015,8833.26,28.73,6.67,0.32,7738.4,31-03-2016,3582.61,71.16,1.09,0.13,9173.75,31-03-2017,3474.32,18.59,4.05,0.12,10113.7,28-03-2018,3985.79,26.36,3.28,0.14,11623.9,29-03-2019,3736.97,-1.6,,0.13,8597.75,31-03-2020,2121.92,3.93,11.72,0.08,14690.7,31-03-2021,3195.55,1.25,55.57,0.12,17464.75,31-03-2022,12429.69,-8.6,,0.48,17359.75,31-03-2023,8052.22,9.36,18.66,0.31
A & M Jumbo Bags Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10184.15,27-03-2018,114.88,2.11,31.05,1.96,11623.9,29-03-2019,100.24,2.51,22.78,1.59,8597.75,31-03-2020,51.52,0,,0.72,14736.4,22-03-2021,95.55,-0.5,,0.88,17464.75,31-03-2022,63.52,-0.21,,0.6,16945.05,24-03-2023,213.68,-0.4,,2.04
A 2 Z Infra Engg. Ltd.,5682.55,28-03-2013,1420.5,-8.02,,0.13,6704.2,31-03-2014,775.16,-25.55,,0.09,8491,31-03-2015,1323.72,-14.97,,0.17,7738.4,31-03-2016,2525.19,-3.66,,0.36,9173.75,31-03-2017,6290.81,-8.97,,1.04,10113.7,28-03-2018,4649.56,-9.58,,0.7,11623.9,29-03-2019,2923.59,-4.26,,0.48,8597.75,31-03-2020,554.78,-14.42,,0.15,14690.7,31-03-2021,660.45,-4.95,,0.24,17464.75,31-03-2022,1699.56,-16.88,,1.59,17359.75,31-03-2023,1162.39,-8.74,,7.47
A A A Technologies Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14690.7,31-03-2021,363.43,1.34,31.6,1.62,17464.75,31-03-2022,590.03,2.79,24.69,2.57,17359.75,31-03-2023,556.68,2.2,19.74,2.19
A B B India Ltd.,5682.55,28-03-2013,103570.22,6.41,76.24,3.99,6704.2,31-03-2014,180948.56,8.95,95.46,6.63,8491,31-03-2015,267025.74,10.56,119.3,9.32,7738.4,31-03-2016,271698.32,15.67,81.81,8.78,9173.75,31-03-2017,271221.53,15.73,81.36,8.03,10113.7,28-03-2018,274347.18,10.06,128.67,7.61,11623.9,29-03-2019,278871.42,10.76,122.3,6.96,8597.75,31-03-2020,198219.09,9.92,94.26,5.53,14690.7,31-03-2021,298801.4,9.37,150.41,7.97,17464.75,31-03-2022,457287.68,17.64,122.32,10.35,17359.75,31-03-2023,713103.47,37.51,89.7,13.76
A B Cotspin India Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464.75,31-03-2022,452.34,6.53,6.73,1.17,17359.75,31-03-2023,452.86,1.94,22.64,1.12
A B G Shipyard Ltd.,5682.55,28-03-2013,16465.56,27.53,11.74,1.09,6704.2,31-03-2014,12995.24,-15.66,,0.98,8491,31-03-2015,12173.13,-161.1,,2.4,7738.4,31-03-2016,2577.27,-505.02,,,9173.75,31-03-2017,1998.66,-198.35,,,10113.7,28-03-2018,767.56,-198.35,,,11623.9,29-03-2019,179.43,-233.79,,,11157,15-05-2019,119.62,,,,,,,,,,,,,,,,,,,,,
A B Infrabuild Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8597.75,31-03-2020,114.66,2.38,3.8,0.39,14557.85,18-03-2021,88.05,0.81,8.55,0.31,17325.3,29-03-2022,128.59,-3.19,,0.52,17359.75,31-03-2023,321.17,4.38,5.79,0.91
A B M International Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,9173.75,31-03-2017,712.66,0.38,158.37,4.49,10113.7,28-03-2018,392.78,-1.02,,2.61,11462.2,18-03-2019,174.64,-0.03,,1.19,8281.1,30-03-2020,158.17,-1.66,,1.25,14690.7,31-03-2021,682.67,8.45,6.87,3.58,17464.75,31-03-2022,1048.52,1.85,60.26,5.08,17359.75,31-03-2023,516.97,-6.96,,3.71
