name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
360 One Wam Ltd.,1600.8,2138.3,3717.4,4115.0,4549.7,7719.4,6070.7,5668.6,7669.8,5966.5
3M India Ltd.,16629.9,18401.5,19434.6,22435.0,25073.2,26240.3,28415.9,29230.6,24472.3,31143.1
A B B India Ltd.,80334.1,82037.6,81741.9,86837.4,93050.9,95056.8,109760.7,83330.8,60073.6,72642.0
A C C Ltd.,129788.7,129764.6,136856.9,133600.6,126517.3,143318.4,154404.8,159678.6,139966.3,163669.8
A I A Engineering Ltd.,16633.3,18762.5,22866.7,22441.7,22612.9,23947.4,29583.3,30747.0,26183.7,33531.8
A P L Apollo Tubes Ltd.,17548.3,21878.2,23140.1,32354.5,34431.2,44732.0,59133.4,59596.0,60520.7,116252.8
A U Small Finance Bank Ltd.,4408.6,6186.6,7191.9,10351.4,20899.7,21558.5,34129.1,49931.2,64082.4,69160.6
Aarti Drugs Ltd.,8866.6,10496.2,11748.6,11708.8,11915.0,11608.3,14616.1,16443.6,19245.8,22559.4
Aarti Industries Ltd.,22823.1,28371.4,30902.1,29432.7,30527.3,37014.4,45523.4,44189.8,48097.7,68203.9
Aavas Financiers Ltd.,175.9,573.3,1081.9,2010.9,3142.8,4944.6,7109.8,9030.9,11053.3,13055.5
Abbott India Ltd.,17230.4,23565.0,23594.0,26922.1,29988.6,34268.4,37951.7,42284.7,44151.4,50157.3
Adani Energy Solutions Ltd.,0.0,0.0,238.3,4213.8,16083.0,16103.3,16314.5,16536.9,17477.7,14407.2
Adani Enterprises Ltd.,128330.6,130196.4,164346.7,91868.4,92821.9,118616.3,159432.3,169344.4,137509.4,273388.7
Adani Power Ltd.,69196.8,114738.3,115136.4,133989.6,116033.3,100887.1,34716.3,19201.1,5875.3,319184.4
Adani Total Gas Ltd.,14118.5,16316.0,14292.8,12331.6,12029.8,15381.0,19101.7,20356.9,18292.6,32478.6
Aditya Birla Capital Ltd.,31.3,34.9,56.1,80.7,1063.9,2638.3,2889.3,2913.0,1917.3,5424.3
Aditya Birla Fashion & Retail Ltd.,13483.6,16663.4,18535.1,60629.2,66711.3,72142.2,81825.0,88076.2,52537.8,79182.9
Aegis Logistics Ltd.,4028.0,3798.7,4410.0,3683.5,4141.2,5311.2,7281.7,9262.4,7890.0,14932.4
Affle (India) Ltd.,76.8,148.4,394.6,752.6,672.1,848.8,1231.6,1887.9,2731.7,4287.9
Ajanta Pharma Ltd.,8526.5,11358.4,14046.2,16635.0,18896.6,19063.5,18748.1,23806.2,28305.4,33059.2
Akzo Nobel India Ltd.,26138.0,27407.0,28683.0,30031.0,36287.0,37537.0,35091.0,33091.0,30263.0,38005.0
Alembic Pharmaceuticals Ltd.,15151.3,18559.4,20396.7,30528.4,29891.8,29860.9,36898.7,42791.3,51507.7,50877.8
Alkem Laboratories Ltd.,25772.9,29523.7,34362.0,42023.2,47850.5,53819.2,59102.1,69889.7,76653.3,93235.0
Alkyl Amines Chemicals Ltd.,3972.1,4843.8,5194.4,5263.0,5429.2,6279.7,8503.5,10327.5,12494.4,15577.6
Amara Raja Batteries Ltd.,33573.1,38857.3,46795.5,52309.6,60421.4,62988.3,68344.4,68932.8,72380.6,87754.1
Amber Enterprises India Ltd.,8480.8,8693.1,11180.7,10202.6,16405.4,19576.6,21973.6,30122.3,23282.0,31715.0
Ambuja Cements Ltd.,114027.3,111063.1,119440.0,111907.0,110668.5,116315.3,121037.6,121862.7,118057.0,142756.3
Angel One Ltd.,3005.3,2560.5,3643.8,3853.5,4724.0,7533.6,7626.4,7430.3,12897.5,22735.9
Anupam Rasayan India Ltd.,1565.1,2402.0,2924.5,3140.0,2992.1,3491.7,5207.3,5454.4,8375.3,10811.3
Apar Industries Ltd.,49881.6,50285.4,55158.7,55138.9,52482.2,56468.3,76010.9,70416.8,59829.5,86294.2
Apollo Hospitals Enterprise Ltd.,33544.2,38840.9,46380.7,56285.4,63489.7,72051.0,83505.0,100081.0,91891.0,112773.0
Apollo Tyres Ltd.,95388.0,97943.4,100040.3,99639.4,100597.5,106782.7,124654.0,110969.4,118549.2,147763.2
Asahi India Glass Ltd.,20796.6,22647.2,22395.9,23412.8,25604.9,26624.9,28790.1,26147.0,24204.1,31337.4
Ashok Leyland Ltd.,143448.8,115964.8,153327.7,205852.3,223019.3,274849.3,296007.2,180490.6,158370.8,230070.0
Asian Paints Ltd.,105918.0,123412.2,138587.6,152280.9,165071.6,148374.6,166787.6,175516.3,220064.2,301610.3
Aster D M Healthcare Ltd.,99.7,873.7,922.9,2452.5,7693.6,5461.8,6789.3,8749.3,7681.7,11996.1
Astral Ltd.,9007.7,11731.7,13716.4,14720.8,16564.8,18791.3,19272.0,20540.0,25070.0,40946.0
Astrazeneca Pharma India Ltd.,4098.5,5075.0,5330.0,5767.2,5630.5,5842.4,7520.9,8448.0,8264.0,8203.6
Atul Ltd.,21491.1,25559.6,27338.8,26625.2,28928.0,31868.5,39471.7,39843.6,36250.8,50846.6
Aurobindo Pharma Ltd.,55960.1,73443.3,83120.6,95116.7,99171.6,103838.0,124571.1,137595.6,164135.4,119759.9
Avanti Feeds Ltd.,6506.2,11352.8,17896.8,20417.3,25578.4,28508.8,27849.9,32231.8,33078.1,41080.1
Avenue Supermarts Ltd.,36395.8,46993.1,64544.0,92652.7,128475.4,166259.4,219854.5,271519.6,262735.3,333809.6
Axis Bank Ltd.,338576.0,382961.9,440234.9,509288.6,562509.0,578902.3,681586.7,782113.8,782171.3,850308.9
Bajaj Auto Ltd.,219760.4,219042.5,231074.3,249567.9,243100.0,269105.1,323563.0,319509.3,292589.5,349454.0
Bajaj Electricals Ltd.,34441.0,40799.8,43138.3,46747.8,43425.6,47809.7,67388.8,50297.3,46622.9,48782.3
Bajaj Finance Ltd.,31849.7,41362.7,55577.0,73333.8,99889.7,127195.7,174135.5,239046.1,235638.9,279035.8
Bajaj Finserv Ltd.,1550.1,1573.0,2116.6,2514.5,1650.0,2522.6,4485.6,8151.6,3920.3,7290.0
Bajaj Holdings & Invst. Ltd.,7535.3,8465.3,10064.6,14012.8,8884.3,9538.3,10033.5,22058.6,4311.4,18580.2
Balaji Amines Ltd.,5610.5,6737.0,6613.5,6946.9,7365.0,8867.2,9604.6,9374.9,12461.9,19390.8
Balkrishna Industries Ltd.,32244.0,36295.0,41230.8,34214.8,40343.2,48006.7,55423.0,52122.3,60336.3,87909.7
Balrampur Chini Mills Ltd.,34270.8,28585.9,34503.7,30271.1,36660.8,44925.9,45787.5,48711.5,48735.5,49582.2
Bank Of Baroda,388423.6,434357.2,480397.4,509055.3,496221.7,513756.5,563429.0,868955.3,841684.5,852783.2
Bank Of India,370968.0,448477.4,477673.3,461341.9,461581.8,447282.3,465596.8,491010.1,481068.2,482796.2
Bank Of Maharashtra,105934.3,129426.8,138225.2,145453.0,137448.6,130207.0,127557.8,133268.3,147294.5,160747.1
Bata India Ltd.,19020.6,21297.7,28140.5,25790.7,25501.7,26871.6,30169.1,31222.9,18013.3,24436.2
Bayer Cropscience Ltd.,41128.0,34901.0,39939.0,29726.0,30200.0,28255.0,34711.0,40822.0,48505.0,54486.0
Berger Paints India Ltd.,33761.9,37851.9,42661.4,43454.9,48585.0,48859.0,55691.8,58425.1,71367.6,91074.8
Bharat Dynamics Ltd.,16000.8,23197.2,32986.0,46772.7,53389.8,49381.4,33574.6,33646.7,20513.8,29384.8
Bharat Electronics Ltd.,67670.2,68082.9,73779.6,82925.3,96988.1,108564.7,123965.9,132942.8,142310.8,155636.2
Bharat Forge Ltd.,34495.7,37165.5,48441.2,46461.0,42284.4,54960.7,67242.7,47343.0,37979.9,65823.1
Bharat Petroleum Corpn. Ltd.,2525652.6,2726627.2,2561368.1,2196709.4,2448544.5,2806024.4,3406940.1,3314613.7,3170470.2,4368897.4
Bharti Airtel Ltd.,468503.0,509103.0,606894.0,621526.0,651416.0,550724.0,578762.0,581136.0,676975.0,732799.0
Birlasoft Ltd.,7321.6,9598.8,12809.6,12973.3,13648.9,14983.0,16525.1,15019.4,16657.8,21235.1
Blue Dart Express Ltd.,22059.2,19762.1,22929.8,25824.9,27086.9,28173.4,31878.7,31814.3,33014.8,44380.4
Blue Star Ltd.,28391.3,28530.6,32395.8,36661.1,41809.9,43461.8,48603.9,48599.2,39044.0,54315.9
Bombay Burmah Trdg. Corpn. Ltd.,2805.8,2993.7,2824.4,2761.7,3198.5,2472.4,2767.8,2835.4,3151.3,3951.9
Borosil Renewables Ltd.,1596.0,1980.7,2457.8,2606.6,3928.6,3322.9,4027.9,2747.6,5076.5,6728.9
Bosch Ltd.,97441.0,98213.0,134786.0,120366.0,125094.0,123934.0,129070.0,105733.0,103321.0,122686.0
Brigade Enterprises Ltd.,7881.2,9186.8,10080.1,16681.1,16649.4,13704.9,19309.6,19961.2,16369.3,23042.0
Britannia Industries Ltd.,57562.4,64585.1,75929.5,80811.6,88298.8,95368.1,107003.7,113578.2,126715.3,137310.5
C C L Products (India) Ltd.,5908.4,6167.0,6786.9,6805.6,7152.3,8288.4,8393.1,9629.9,8662.3,9618.9
C E S C Ltd.,56692.3,57018.6,63661.2,70129.4,77812.5,82817.5,85878.4,86513.4,76928.0,82962.2
C G Power & Indl. Solutions Ltd.,77629.2,83009.2,85318.9,69486.6,50746.6,55575.8,56614.8,32720.3,42837.0,54873.5
C I E Automotive India Ltd.,4980.8,4393.8,18470.9,13368.4,18086.0,20760.0,31724.0,29816.0,21731.0,33374.0
C S B Bank Ltd.,14160.9,16472.5,17080.6,16787.0,16591.8,14792.1,15963.7,17323.9,22731.1,23820.8
Can Fin Homes Ltd.,4009.3,5815.6,8170.4,10835.5,13537.2,15253.2,17313.6,20304.6,20184.3,19929.8
Canara Bank,376441.2,437957.8,491298.3,497669.4,493794.7,512153.1,566430.7,570300.2,845809.4,861402.6
Caplin Point Laboratories Ltd.,1248.2,1697.8,2437.7,2347.8,3540.7,4501.7,5723.0,5938.0,5056.9,5847.5
Capri Global Capital Ltd.,1369.0,1662.0,1952.2,1908.3,2382.5,3455.0,5045.0,5822.1,5767.1,7655.6
Carborundum Universal Ltd.,12074.2,12672.6,13864.5,14341.0,15541.0,16333.3,18091.3,16985.4,17490.6,22571.8
Castrol India Ltd.,38108.8,39418.2,41294.9,41025.5,42532.2,42621.0,43788.9,43570.2,34111.0,46768.0
Ceat Ltd.,53800.5,59174.8,61618.1,61648.1,64201.1,64536.9,68878.9,67812.6,76288.6,93626.7
Central Bank Of India Ltd.,236970.4,263644.6,283216.6,303276.8,289416.9,304874.5,283017.2,274353.5,263544.8,262710.5
Century Plyboards (India) Ltd.,12443.6,14147.4,17230.1,17899.7,19430.0,20118.1,22698.9,22937.6,21254.1,30236.4
