name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
360 One Wam Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
3M India Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
A B B India Ltd.,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019,2020,2021
A C C Ltd.,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019,2020,2021
A I A Engineering Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
A P L Apollo Tubes Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
A U Small Finance Bank Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
Aarti Drugs Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
Aarti Industries Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
Aavas Financiers Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
Abbott India Ltd.,2012.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
Adani Energy Solutions Ltd.,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
Adani Enterprises Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
Adani Power Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
Adani Total Gas Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
Aditya Birla Capital Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
Aditya Birla Fashion & Retail Ltd.,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021,2022
