,name,Year,Total income,Total expenses,Total assets,"Current assets (incl. short term investments, loans & advances)",Current liabilities & provisions,Long term borrowings excl current portion,Sales,Year.1,Total income.1,Total expenses.1,Total assets.1,"Current assets (incl. short term investments, loans & advances).1",Current liabilities & provisions.1,Long term borrowings excl current portion.1,Sales.1,Year.2,Total income.2,Total expenses.2,Total assets.2,"Current assets (incl. short term investments, loans & advances).2",Current liabilities & provisions.2,Long term borrowings excl current portion.2,Sales.2,Year.3,Total income.3,Total expenses.3,Total assets.3,"Current assets (incl. short term investments, loans & advances).3",Current liabilities & provisions.3,Long term borrowings excl current portion.3,Sales.3,Year.4,Total income.4,Total expenses.4,Total assets.4,"Current assets (incl. short term investments, loans & advances).4",Current liabilities & provisions.4,Long term borrowings excl current portion.4,Sales.4,Year.5,Total income.5,Total expenses.5,Total assets.5,"Current assets (incl. short term investments, loans & advances).5",Current liabilities & provisions.5,Long term borrowings excl current portion.5,Sales.5,Year.6,Total income.6,Total expenses.6,Total assets.6,"Current assets (incl. short term investments, loans & advances).6",Current liabilities & provisions.6,Long term borrowings excl current portion.6,Sales.6,Year.7,Total income.7,Total expenses.7,Total assets.7,"Current assets (incl. short term investments, loans & advances).7",Current liabilities & provisions.7,Long term borrowings excl current portion.7,Sales.7,Year.8,Total income.8,Total expenses.8,Total assets.8,"Current assets (incl. short term investments, loans & advances).8",Current liabilities & provisions.8,Long term borrowings excl current portion.8,Sales.8,Year.9,Total income.9,Total expenses.9,Total assets.9,"Current assets (incl. short term investments, loans & advances).9",Current liabilities & provisions.9,Long term borrowings excl current portion.9,Sales.9,Year.10,Total income.10,Total expenses.10,Total assets.10,"Current assets (incl. short term investments, loans & advances).10",Current liabilities & provisions.10,Long term borrowings excl current portion.10,Sales.10
0,360 One Wam Ltd.,2013-03-31 00:00:00,1600.8,1317.9,1395.7,1180.2,574.1,0.0,0.0,2014-03-31 00:00:00,2138.3,1729.0,2081.5,1139.4,622.9,0.0,0.0,2015-03-31 00:00:00,3717.4,2725.6,5885.7,3825.1,3108.4,516.7,0.0,2016-03-31 00:00:00,4115.0,3080.9,15225.4,3253.7,2115.5,516.3,0.0,2017-03-31 00:00:00,4549.7,3685.3,21206.1,8917.4,7927.1,11.0,0.0,2018-03-31 00:00:00,7719.4,6136.3,22729.9,0.0,4747.9,0.0,0.0,2019-03-31 00:00:00,6070.7,4552.9,26703.3,0.0,357.6,0.0,0.0,2020-03-31,5668.6,3733.8,25229.8,0.0,1959.5,0.0,130.7,2021-03-31,7669.8,1266.1,27078.9,0.0,423.9,0.0,189.1,2022-03-31,5966.5,1878.1,41287.6,0.0,9251.4,0.0,184.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3M India Ltd.,2013-03-31 00:00:00,16629.9,16128.8,13664.5,8996.1,6784.6,76.9,16524.9,2014-03-31 00:00:00,18401.5,18065.2,14367.6,9574.9,7006.8,67.4,18180.9,2015-03-31 00:00:00,19434.6,18667.3,15336.1,7634.6,3627.9,75.4,19278.9,2016-03-31 00:00:00,22435.0,20598.3,14994.9,10677.2,4662.8,57.2,22237.5,2017-03-31 00:00:00,25073.2,22770.5,19855.8,15550.9,7065.1,46.2,24578.5,2018-03-31 00:00:00,26240.3,23256.5,21943.7,17775.3,6077.9,48.8,25804.1,2019-03-31 00:00:00,28415.9,25324.8,25605.1,15342.9,6445.8,74.5,28087.6,2020-03-31,29230.6,27123.2,27201.9,17414.6,5859.1,174.9,28757.4,2021-03-31,24472.3,22770.5,29766.8,19899.5,6959.1,103.1,24203.6,2022-03-31,31143.1,28566.7,33129.5,22696.4,7577.9,68.2,30783.0,2023-03-31 00:00:00,37976.8,34206.8,29697.8,19063.1,9592.0,135.9,37334.5
2,A B B India Ltd.,2012-12-31 00:00:00,80334.1,78966.9,85908.8,49495.7,39720.9,0.0,80263.6,2013-12-31 00:00:00,82037.6,80398.5,93511.1,53319.8,44747.3,0.0,81967.7,2014-12-31 00:00:00,81741.9,79017.0,91814.2,50849.9,41031.6,0.0,81569.1,2015-12-31 00:00:00,86837.4,84324.2,99896.5,57523.9,39284.8,6000.0,86707.0,2016-12-31 00:00:00,93050.9,88639.8,84740.6,61175.8,40411.4,6000.0,91835.2,2017-12-31 00:00:00,95056.8,91282.4,96143.7,72117.6,55094.8,41.4,62874.9,2018-12-31 00:00:00,109760.7,105155.6,96050.0,76923.3,51989.8,20.3,67006.2,2019-12-31,83330.8,80564.1,80940.1,65099.6,42369.0,70.6,73150.6,2020-12-31,60073.6,57668.6,80017.3,62094.6,40597.4,449.3,58209.5,2021-12-31,72642.0,67778.5,84151.7,67041.8,40726.3,185.3,69340.0,2022-12-31 00:00:00,91403.2,82256.2,96123.6,79511.8,44029.2,210.3,85675.3
3,A C C Ltd.,2012-12-31 00:00:00,129788.7,118976.6,121427.1,48348.7,34765.5,850.3,125071.7,2013-12-31 00:00:00,129764.6,118769.3,123517.2,44379.9,36751.9,0.0,124578.2,2014-12-31 00:00:00,136856.9,125286.8,129204.7,36788.5,38119.2,0.0,130623.3,2015-12-31 00:00:00,133600.6,126152.7,130591.7,34058.8,38436.2,0.0,132300.5,2016-12-31 00:00:00,126517.3,119876.9,138178.0,41083.3,40559.6,0.0,124338.2,2017-12-31 00:00:00,143318.4,134312.9,152517.5,56532.3,48754.2,0.0,140378.1,2018-12-31 00:00:00,154404.8,140588.3,162938.1,66110.4,47238.5,0.0,147767.6,2019-12-31,159678.6,145081.4,174282.7,74708.1,47319.9,0.0,156471.7,2020-12-31,139966.3,124392.8,184552.6,84057.5,48659.9,839.8,137787.4,2021-12-31,163669.8,147209.6,212220.7,103004.2,60474.5,1013.7,161440.2,2023-03-31 00:00:00,225471.5,218704.3,207173.2,81910.3,56948.0,1256.8,221976.5
4,A I A Engineering Ltd.,2013-03-31 00:00:00,16633.3,14894.9,14308.4,10326.6,2170.2,1054.5,16448.8,2014-03-31 00:00:00,18762.5,15989.4,16921.8,11933.9,2668.1,867.2,18446.3,2015-03-31 00:00:00,22866.7,18748.5,20245.2,13936.3,2844.2,550.8,21504.4,2016-03-31 00:00:00,22441.7,16292.9,24324.3,17140.0,2912.2,252.9,18856.2,2017-03-31 00:00:00,22612.9,18968.0,28393.7,20655.9,3245.6,3.4,21224.0,2018-03-31 00:00:00,23947.4,19795.5,32068.9,23629.1,3590.4,2.0,21658.2,2019-03-31 00:00:00,29583.3,26319.7,36094.2,26479.7,3115.9,150.0,28396.5,2020-03-31,30747.0,21976.2,39984.8,29992.4,2886.4,104.5,25892.3,2021-03-31,26183.7,21459.0,61460.1,34349.0,5512.2,57.5,24735.7,2022-03-31,33531.8,28784.3,63155.1,36422.4,3647.4,30.8,30819.9,2023-03-31 00:00:00,43682.6,34065.9,80540.1,53041.1,10524.2,29.2,40455.2
5,A P L Apollo Tubes Ltd.,2013-03-31 00:00:00,17548.3,17683.0,7332.2,3830.0,3568.6,473.9,17538.0,2014-03-31 00:00:00,21878.2,22004.9,8263.8,4105.2,3713.2,939.4,21856.6,2015-03-31 00:00:00,23140.1,22662.9,8845.9,3601.8,3869.3,836.0,23019.7,2016-03-31 00:00:00,32354.5,32167.6,10689.3,5520.0,5290.4,1427.3,32187.0,2017-03-31 00:00:00,34431.2,33497.2,18730.4,7691.1,8792.4,983.4,34331.7,2018-03-31 00:00:00,44732.0,44330.6,22117.3,9869.5,11062.7,755.9,44311.7,2019-03-31 00:00:00,59133.4,58658.6,26679.9,13565.3,13663.9,1405.8,58684.7,2020-03-31,59596.0,59181.9,26726.1,10721.3,9308.9,2460.9,59308.1,2021-03-31,60520.7,59185.3,29645.8,12214.3,10627.2,2252.6,60079.6,2022-03-31,116252.8,111000.8,41135.9,17321.7,14756.5,1090.6,115896.5,2023-03-31 00:00:00,143212.0,141742.2,50545.2,19896.1,21113.3,651.3,142792.9
6,A U Small Finance Bank Ltd.,2013-03-31 00:00:00,4408.6,3606.5,31411.9,18185.6,11847.9,14625.2,0.0,2014-03-31 00:00:00,6186.6,5262.7,30151.9,13929.6,10570.5,12734.5,0.0,2015-03-31 00:00:00,7191.9,5789.6,40367.9,16238.1,15632.4,15795.7,0.0,2016-03-31 00:00:00,10351.4,8235.2,62955.5,23961.7,23727.6,28108.6,0.0,2017-03-31 00:00:00,20899.7,12679.9,97812.3,0.0,6735.8,0.0,0.0,2018-03-31 00:00:00,21558.5,18638.1,188516.6,0.0,9894.0,0.0,0.0,2019-03-31 00:00:00,34129.1,30311.0,326608.4,0.0,14241.2,0.0,0.0,2020-03-31,49931.2,43183.4,421853.8,0.0,12670.0,0.0,0.0,2021-03-31,64082.4,52375.6,516496.2,0.0,23070.8,0.0,0.0,2022-03-31,69160.6,57862.3,691615.9,0.0,29883.9,0.0,0.0,2023-03-31 00:00:00,93797.1,79517.8,903233.0,0.0,35751.3,0.0,0.0
7,Aarti Drugs Ltd.,2013-03-31 00:00:00,8866.6,8640.1,7197.3,4082.2,3910.1,843.5,8857.5,2014-03-31 00:00:00,10496.2,9822.3,8497.3,4572.4,4796.8,766.4,10443.5,2015-03-31 00:00:00,11748.6,11208.4,9669.3,5067.5,4644.0,1514.7,11699.4,2016-03-31 00:00:00,11708.8,11098.3,10547.1,5420.3,4770.8,1752.1,11661.0,2017-03-31 00:00:00,11915.0,11123.7,11161.2,5294.8,4491.8,1910.9,11859.3,2018-03-31 00:00:00,11608.3,11430.2,13169.9,6971.6,5892.4,1898.0,11596.6,2019-03-31 00:00:00,14616.1,13553.0,13733.4,7354.1,5477.7,1979.5,14542.5,2020-03-31,16443.6,15626.3,14721.5,8268.1,5559.5,1838.9,16349.2,2021-03-31,19245.8,16759.5,16394.6,9625.8,5243.4,1519.4,19148.9,2022-03-31,22559.4,21388.9,20374.2,12760.9,8575.7,1202.1,22511.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Aarti Industries Ltd.,2013-03-31 00:00:00,22823.1,22220.4,20728.9,10154.4,9914.3,1169.4,22713.1,2014-03-31 00:00:00,28371.4,27504.9,25648.8,12405.5,11837.0,2623.4,28233.5,2015-03-31 00:00:00,30902.1,28851.9,28196.5,12016.5,10893.3,4189.2,30847.4,2016-03-31 00:00:00,29432.7,26365.6,28366.6,11771.7,10978.5,5251.8,29338.7,2017-03-31 00:00:00,30527.3,27761.2,33428.2,12785.7,12932.4,5956.0,30487.5,2018-03-31 00:00:00,37014.4,34547.4,41815.0,16331.3,15455.4,8974.3,36990.3,2019-03-31 00:00:00,45523.4,41186.1,56278.6,25235.0,18852.6,8077.5,45478.8,2020-03-31,44189.8,39117.1,60925.2,19408.3,18699.4,5987.8,44081.9,2021-03-31,48097.7,43616.8,75186.1,23514.7,23983.7,12811.7,46605.7,2022-03-31,68203.9,58353.9,80719.3,27057.4,21609.5,9447.6,60154.2,2023-03-31 00:00:00,72433.9,66515.2,86133.9,24748.6,27924.3,6599.7,71946.0
9,Aavas Financiers Ltd.,2013-03-31 00:00:00,175.9,157.0,1869.2,152.6,555.2,1011.1,123.9,2014-03-31 00:00:00,573.3,501.4,4186.4,275.9,1028.3,2573.0,0.0,2015-03-31 00:00:00,1081.9,891.1,8644.6,675.2,2277.2,5238.8,0.0,2016-03-31 00:00:00,2010.9,1690.3,17141.8,3029.8,2895.2,11963.7,0.0,2017-03-31 00:00:00,3142.8,2564.3,24543.3,3792.8,3546.5,15096.9,0.0,2018-03-31 00:00:00,4944.6,4013.7,40756.4,0.0,1094.5,0.0,0.0,2019-03-31 00:00:00,7109.8,5350.7,56506.4,0.0,1069.4,0.0,0.0,2020-03-31,9030.9,6539.7,76937.1,0.0,1667.4,0.0,0.0,2021-03-31,11053.3,8158.3,90341.7,0.0,2027.7,0.0,0.0,2022-03-31,13055.5,9487.5,111143.8,0.0,2299.4,0.0,0.0,2023-03-31 00:00:00,16101.4,11800.7,135075.0,0.0,2763.7,0.0,0.0
10,Abbott India Ltd.,2012-12-31 00:00:00,17230.4,15696.1,15593.1,10537.4,5094.3,0.0,16708.7,2014-03-31 00:00:00,23565.0,22386.6,19076.9,13544.7,6641.2,0.0,23036.2,2015-03-31 00:00:00,23594.0,21717.7,22321.2,16761.1,8469.4,0.0,22883.5,2016-03-31 00:00:00,26922.1,24221.0,16385.9,14626.9,3943.3,0.0,26399.2,2017-03-31 00:00:00,29988.6,28236.5,20869.1,19047.9,6434.1,0.0,29327.1,2018-03-31 00:00:00,34268.4,31278.2,24432.1,22768.6,6794.6,0.0,33515.0,2019-03-31 00:00:00,37951.7,33470.2,29694.9,27721.9,8680.8,0.0,36776.1,2020-03-31,42284.7,35743.0,35712.2,32159.6,9024.1,1392.0,41143.0,2021-03-31,44151.4,38284.5,38657.9,34989.5,10424.0,1176.8,43311.9,2022-03-31,50157.3,42393.1,42504.8,38656.1,12157.6,1087.4,49342.5,2023-03-31 00:00:00,55371.3,45216.3,45803.3,30375.4,12184.5,674.9,53808.5
11,Adani Energy Solutions Ltd.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-31 00:00:00,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2015-03-31 00:00:00,238.3,417.7,37111.1,274.1,26319.7,0.0,229.2,2016-03-31 00:00:00,4213.8,4779.2,76205.7,4193.9,26764.0,26922.8,2744.6,2017-03-31 00:00:00,16083.0,16044.5,107803.7,14951.3,16563.1,67554.7,8103.6,2018-03-31 00:00:00,16103.3,16349.6,122477.1,12661.5,19033.6,62113.2,8352.9,2019-03-31 00:00:00,16314.5,15890.5,128235.5,15380.2,23386.2,51763.3,8328.3,2020-03-31,16536.9,16481.5,129563.6,25462.9,7818.9,73511.9,8577.9,2021-03-31,17477.7,17689.8,122071.6,5201.4,11836.4,69239.4,7552.3,2022-03-31,14407.2,15053.3,126886.1,12480.4,12920.9,74070.0,7398.1,2023-03-31 00:00:00,13028.4,11325.6,129759.6,13923.2,9074.2,17418.5,6880.0
