name,2013.00 ,2014.00 ,2015.00 ,2016.00 ,2017.00 ,2018.00 ,2019.00 ,2020.00 ,2021.00 ,2022.00 ,2023.00 
360 One Wam Ltd.,,,,,,,,27.59,0.7,2.5,5.26
3M India Ltd.,0.29,0.05,1.78,0.72,4.08,3.86,1.13,40.89,5.26,8.34,7.57
A B B India Ltd.,9.38,10.38,8.64,3.44,11.72,98.28,7.28,2.37,14.96,44.82,18.61
A C C Ltd.,26.52,10.75,23.99,17.91,13.39,14.24,406.01,24.66,39.63,23.64,169.81
A I A Engineering Ltd.,0.49,0.85,16.37,0.68,1.22,178.04,0.29,1.04,1.88,0.73,28.66
A P L Apollo Tubes Ltd.,3.1,0,2.13,0.68,2.41,21.19,0.94,5.46,9.05,50.46,13.25
A U Small Finance Bank Ltd.,,,,,,17.7,13.18,29.7,15.24,148.71,31.66
Aarti Drugs Ltd.,0.94,0.82,31.97,0.59,2.03,1.11,0.46,0.14,13.67,7.79,3.13
Aarti Industries Ltd.,2.09,0.79,2.9,0.63,1.92,2.24,9.05,18.91,48.85,37.33,16.13
Aavas Financiers Ltd.,,,,,,,1.43,6.1,4.63,3.64,6.92
Abbott India Ltd.,0.79,0.31,3.73,4.38,4.21,3.64,17.36,2.26,187.83,45.14,5.69
Adani Energy Solutions Ltd.,,,,11.05,16.15,14.48,3.49,3.96,16,4.23,407.44
Adani Enterprises Ltd.,87.84,105.8,1190.22,27.04,137.44,218.36,77,49.2,121.67,143.15,1698.43
Adani Green Energy Ltd.,,,,,,,4.1,20.17,35.93,32.04,681.15
Adani Ports & Special Economic Zone Ltd.,281.69,11.69,379.55,63.74,67.38,73.52,187.38,24.53,115.57,44.08,894.22
Adani Power Ltd.,21.41,9.03,150.69,16.57,64.4,44.82,177.46,24.14,39.77,88.72,58.51
Adani Total Gas Ltd.,,,,,,,9.63,21.6,28.79,14.17,118
Adani Wilmar Ltd.,,,,,,,,,,,56.55
Aditya Birla Capital Ltd.,,,,,,52.56,17.18,15.39,17.48,23.07,15.51
Aditya Birla Fashion & Retail Ltd.,,0.13,0.05,0.73,239.23,8.99,22.94,6.3,25.01,37.97,13.11
Aditya Birla Sun Life A M C Ltd.,,,,,,,,,,8.76,2.33
Aegis Logistics Ltd.,1.14,1.66,1.77,18.88,5.07,5.67,0.25,2.56,1.75,8.61,31.6
Aether Industries Ltd.,,,,,,,,,,,2.07
Affle (India) Ltd.,,,,,,,,12.68,18.08,55.19,11.55
Ajanta Pharma Ltd.,74.33,8.39,24.31,21.36,25.13,12.66,106.38,1.92,5.52,5.02,1.64
Akzo Nobel India Ltd.,25.14,1.84,26.98,4.86,3.72,1.51,0.54,0.84,2.53,1.51,0.94
Alembic Pharmaceuticals Ltd.,13.5,6.14,6.66,11.15,4.11,25.9,1.46,2.45,18.88,4.96,2.01
Alkem Laboratories Ltd.,,,,28.77,2.96,9.22,0.75,9.88,7.68,13.61,7.45
Alkyl Amines Chemicals Ltd.,0.65,0.01,0.35,0.43,0.1,1.23,0.36,1.14,32.13,19.59,5.5
Alok Industries Ltd.,7.42,2.15,18.57,3.85,3.66,2.29,3.9,6.89,16.99,95.65,6.04
Amara Raja Batteries Ltd.,11.13,2.13,35.47,7.48,11.14,25.42,18,10.43,73.17,42.44,14.75
Amber Enterprises India Ltd.,,,,,,580.86,0.12,28.13,21.57,64.56,2.96
Ambuja Cements Ltd.,46.14,18.7,22.8,12,22.6,14,23.78,11.8,112.71,40.08,664.57
Angel One Ltd.,,,,,,,,,15.17,21.24,43.5
Anupam Rasayan India Ltd.,,,,,,,,,,34.53,1.18
Apar Industries Ltd.,0.35,1.1,0.77,7.95,1.4,2.28,0.18,0.39,3.91,33.22,171.65
Apollo Hospitals Enterprise Ltd.,8.46,5.31,17.83,24.77,8.8,16.72,19.7,19.85,86.17,210.75,72.7
