name,2013.00 ,2014.00 ,2015.00 ,2016.00 ,2017.00 ,2018.00 ,2019.00 ,2020.00 ,2021.00 ,2022.00 ,2023.00 
360 One Wam Ltd.,,,,,,,,1.5,3.94,5.31,3.78
3M India Ltd.,0,0,0,0,0,0,0,0,0,0,3.67
A B B India Ltd.,0.46,0.52,0.23,0.38,0.34,0.24,0.35,0.37,0.35,0.22,0.18
A C C Ltd.,2.12,2.97,2.18,2.42,1.2,0.99,1.06,0.93,1.74,0.61,2.95
A I A Engineering Ltd.,0.93,0.78,0.53,0.97,1.33,0.52,0.5,0.51,1.38,0.48,0.33
A P L Apollo Tubes Ltd.,0.9,3.43,1.37,0.88,0.95,0.55,1.26,0.71,0,0,0.31
A U Small Finance Bank Ltd.,,,,,,0,0.09,0.07,0,0,0.08
Aarti Drugs Ltd.,3.54,4.46,1.25,1.48,0.73,0.16,0.17,0.16,0.45,0,0.25
Aarti Industries Ltd.,4.97,4.38,1.76,1.27,0.77,0.09,0.06,0.56,0.43,0.25,0.46
Aavas Financiers Ltd.,,,,,,,0,0,0,0,0
Abbott India Ltd.,1.17,1.04,0.58,0.61,0.8,0.71,0.68,0.52,1.75,1.71,1.32
Adani Energy Solutions Ltd.,,,,0,0,0,0,0,0,0,0
Adani Enterprises Ltd.,0.4,0.59,0.22,1.92,0.46,0.19,0.29,0.17,0.2,0.06,0.03
Adani Green Energy Ltd.,,,,,,,0,0,0,0,0
Adani Ports & Special Economic Zone Ltd.,0.67,0.68,0.29,0.52,0.37,0.3,0.59,0.05,0.63,0.7,0.82
Adani Power Ltd.,0,0,0,0,0,0,0,0,0,0,0
Adani Total Gas Ltd.,,,,,,,0,0.15,0.07,0.01,0.01
Adani Wilmar Ltd.,,,,,,,,,,,0
Aditya Birla Capital Ltd.,,,,,,0,0,0,0,0,0
Aditya Birla Fashion & Retail Ltd.,,0,0,0,0,0,0,0,0,0,0
Aditya Birla Sun Life A M C Ltd.,,,,,,,,,,1.08,1.39
Aegis Logistics Ltd.,1.18,4.24,1.24,0.77,0.74,0.28,0.66,0.68,0.6,0.99,1.83
Aether Industries Ltd.,,,,,,,,,,,0
Affle (India) Ltd.,,,,,,,,0,0,0,0
Ajanta Pharma Ltd.,0.61,0.44,0.39,0.47,0.82,0.48,0.88,1.17,0.54,0.43,0.58
Akzo Nobel India Ltd.,2.08,10.26,5,1.49,4.87,1.19,1.26,1.18,0.63,2.59,3.34
Alembic Pharmaceuticals Ltd.,1.79,1.13,0.64,0.57,0.71,0.7,0.67,0.87,1.05,1.85,1.86
Alkem Laboratories Ltd.,,,,0,0.94,0.41,0.69,0.67,0.83,0.85,1.13
Alkyl Amines Chemicals Ltd.,2.3,2.14,1.24,1.26,3.16,0.71,0.93,0.61,0.42,0.3,0.38
Alok Industries Ltd.,2.78,4.29,0,0,0,0,0,0,0,0,0
Amara Raja Batteries Ltd.,0.61,0.76,0.38,0.43,0.47,0.77,0.56,1.44,0.54,2.42,0.6
Amber Enterprises India Ltd.,,,,,,0,0,0.11,0.06,0,0
Ambuja Cements Ltd.,1.58,2.26,1.61,2.46,1.22,1.07,0.95,0.73,8.22,0.27,1.57
Angel One Ltd.,,,,,,,,,1.21,1.82,2.89
Anupam Rasayan India Ltd.,,,,,,,,,,0.1,0.24
Apar Industries Ltd.,2.97,4.04,1.41,0.7,1.05,1.36,1.54,2.44,2.62,1.37,0.89
Apollo Hospitals Enterprise Ltd.,0.5,0.59,0.44,0.39,0.49,0.52,0.38,0.36,0.23,0.07,0.28
Apollo Tyres Ltd.,0.58,0.44,0.31,1.36,1.11,1.18,1.47,1.95,1.53,1.61,1.01
Aptus Value Housing Finance India Ltd.,,,,,,,,,,0,0.72
Archean Chemical Inds. Ltd.,,,,,,,,,,,0
Asahi India Glass Ltd.,0,0,0,0,0.3,0.29,0.59,0.42,0.38,0.18,0.39
Ashok Leyland Ltd.,4.09,3.65,0,0.5,1.05,1.24,2.99,3.78,0.45,0.45,0.67
Asian Paints Ltd.,0.89,1.01,0.7,0.75,0.82,0.91,0.63,0.61,0.5,0.58,0.73
Aster D M Healthcare Ltd.,,,,,,,0,0,0,0,0
Astral Ltd.,0.32,0.16,0.09,0.09,0.12,0.07,0.06,0.06,0.09,0.1,0.15
Astrazeneca Pharma India Ltd.,0.26,0,0,0,0,0,0,0.04,0.06,0.07,0.24
Atul Ltd.,1.24,1.46,0.58,0.59,0.44,0.37,0.34,0.56,0.24,0.21,0.46
Aurobindo Pharma Ltd.,0.53,0.58,0.26,0.31,0.39,0.44,0.29,0.52,0.47,0.71,1.47
Avanti Feeds Ltd.,4.19,2.58,0.9,1.4,1.25,0.4,1.68,0.6,1,1.04,1.62
Avenue Supermarts Ltd.,,,,,,0,0,0,0,0,0
