name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
360 One Wam Ltd.,1395.7,2081.5,5885.7,15225.4,21206.1,22729.9,26703.3,25229.8,27078.9,41287.6
3M India Ltd.,13664.5,14367.6,15336.1,14994.9,19855.8,21943.7,25605.1,27201.9,29766.8,33129.5
A B B India Ltd.,85908.8,93511.1,91814.2,99896.5,84740.6,96143.7,96050.0,80940.1,80017.3,84151.7
A C C Ltd.,121427.1,123517.2,129204.7,130591.7,138178.0,152517.5,162938.1,174282.7,184552.6,212220.7
A I A Engineering Ltd.,14308.4,16921.8,20245.2,24324.3,28393.7,32068.9,36094.2,39984.8,61460.1,63155.1
A P L Apollo Tubes Ltd.,7332.2,8263.8,8845.9,10689.3,18730.4,22117.3,26679.9,26726.1,29645.8,41135.9
A U Small Finance Bank Ltd.,31411.9,30151.9,40367.9,62955.5,97812.3,188516.6,326608.4,421853.8,516496.2,691615.9
Aarti Drugs Ltd.,7197.3,8497.3,9669.3,10547.1,11161.2,13169.9,13733.4,14721.5,16394.6,20374.2
Aarti Industries Ltd.,20728.9,25648.8,28196.5,28366.6,33428.2,41815.0,56278.6,60925.2,75186.1,80719.3
Aavas Financiers Ltd.,1869.2,4186.4,8644.6,17141.8,24543.3,40756.4,56506.4,76937.1,90341.7,111143.8
Abbott India Ltd.,15593.1,19076.9,22321.2,16385.9,20869.1,24432.1,29694.9,35712.2,38657.9,42504.8
Adani Energy Solutions Ltd.,0.0,0.5,37111.1,76205.7,107803.7,122477.1,128235.5,129563.6,122071.6,126886.1
Adani Enterprises Ltd.,203514.8,226898.1,227683.2,146196.5,149120.4,156731.6,149479.4,140921.7,131878.0,217106.5
Adani Power Ltd.,379833.9,409611.4,405061.5,488525.9,448802.0,199040.8,291139.1,227059.2,244084.3,747058.2
Adani Total Gas Ltd.,11976.7,11904.7,12579.8,14363.4,16631.6,28148.6,20698.5,24977.5,32395.9,44463.3
Aditya Birla Capital Ltd.,9757.9,15290.1,21918.9,31487.6,51578.5,80846.6,89067.1,96291.1,97423.8,100810.7
Aditya Birla Fashion & Retail Ltd.,28822.8,21532.3,21424.5,45842.6,50492.3,57560.4,66354.1,97135.8,99398.2,118946.5
Aegis Logistics Ltd.,5467.5,6028.3,6000.9,6102.2,11440.7,12641.1,12636.6,17661.0,21335.8,26194.3
Affle (India) Ltd.,104.1,144.1,291.8,434.6,520.9,665.0,1072.7,2780.4,3386.5,10408.5
Ajanta Pharma Ltd.,6760.5,8800.0,10875.3,14310.9,17654.2,23186.5,27990.0,33506.3,39503.3,40201.0
