name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
360 One Wam Ltd.,1317.9,1729.0,2725.6,3080.9,3685.3,6136.3,4552.9,3733.8,1266.1,1878.1
3M India Ltd.,16128.8,18065.2,18667.3,20598.3,22770.5,23256.5,25324.8,27123.2,22770.5,28566.7
A B B India Ltd.,78966.9,80398.5,79017.0,84324.2,88639.8,91282.4,105155.6,80564.1,57668.6,67778.5
A C C Ltd.,118976.6,118769.3,125286.8,126152.7,119876.9,134312.9,140588.3,145081.4,124392.8,147209.6
A I A Engineering Ltd.,14894.9,15989.4,18748.5,16292.9,18968.0,19795.5,26319.7,21976.2,21459.0,28784.3
A P L Apollo Tubes Ltd.,17683.0,22004.9,22662.9,32167.6,33497.2,44330.6,58658.6,59181.9,59185.3,111000.8
A U Small Finance Bank Ltd.,3606.5,5262.7,5789.6,8235.2,12679.9,18638.1,30311.0,43183.4,52375.6,57862.3
Aarti Drugs Ltd.,8640.1,9822.3,11208.4,11098.3,11123.7,11430.2,13553.0,15626.3,16759.5,21388.9
Aarti Industries Ltd.,22220.4,27504.9,28851.9,26365.6,27761.2,34547.4,41186.1,39117.1,43616.8,58353.9
Aavas Financiers Ltd.,157.0,501.4,891.1,1690.3,2564.3,4013.7,5350.7,6539.7,8158.3,9487.5
Abbott India Ltd.,15696.1,22386.6,21717.7,24221.0,28236.5,31278.2,33470.2,35743.0,38284.5,42393.1
Adani Energy Solutions Ltd.,0.0,0.0,417.7,4779.2,16044.5,16349.6,15890.5,16481.5,17689.8,15053.3
Adani Enterprises Ltd.,123972.9,135031.2,155170.2,86153.0,90908.8,123946.6,160612.6,158592.8,129481.0,303614.9
Adani Power Ltd.,88717.1,108785.7,115822.7,133024.2,176576.7,101810.1,36265.2,32606.7,10862.7,268821.0
Adani Total Gas Ltd.,13586.9,15891.1,13273.7,11520.3,11013.8,13728.8,16760.2,15991.1,13583.9,27520.7
Aditya Birla Capital Ltd.,22.7,578.8,541.7,85.5,1021.5,2276.6,2985.3,2614.5,1187.0,1977.4
Aditya Birla Fashion & Retail Ltd.,13939.1,18915.7,21460.7,64122.6,66150.2,73425.0,80897.8,93116.0,52938.6,88830.0
Aegis Logistics Ltd.,3674.4,3636.0,3289.0,3080.6,3575.4,4320.1,6485.4,8996.4,6476.5,10607.2
Affle (India) Ltd.,91.1,150.4,371.8,703.4,666.0,760.5,1064.8,1559.0,2449.4,3722.4
Ajanta Pharma Ltd.,7629.4,9078.4,10870.7,12825.6,13825.6,15279.8,15504.3,19304.7,22295.0,26426.6
Akzo Nobel India Ltd.,23833.0,26076.0,26989.0,27832.0,33983.0,33286.0,33125.0,30976.0,28359.0,36007.0
Alembic Pharmaceuticals Ltd.,13363.5,16583.0,18259.5,24500.4,26064.5,26002.8,31590.8,34862.4,42148.7,45243.8
Alkem Laboratories Ltd.,22044.8,25609.0,30801.3,35361.9,41138.1,47575.0,50238.1,57582.4,62815.4,81431.5
Alkyl Amines Chemicals Ltd.,3795.6,4426.3,4676.6,4858.0,4917.0,5532.7,7874.9,8092.0,9649.2,13701.8
Amara Raja Batteries Ltd.,31020.8,35517.0,43226.0,48579.3,57347.5,58546.8,64800.9,61802.9,66591.0,85860.2
Amber Enterprises India Ltd.,8218.7,8481.8,11003.2,10072.8,16462.4,18738.5,21258.2,29229.1,22918.3,31156.7
Ambuja Cements Ltd.,103065.0,96934.1,104317.3,103577.5,101648.0,104447.9,106896.2,106149.3,99015.2,125485.3
Angel One Ltd.,2913.7,2496.3,3254.7,3598.7,4517.0,6515.1,6859.4,6564.1,9993.5,16587.2
Anupam Rasayan India Ltd.,1429.9,2203.6,2587.1,2839.8,2903.5,3139.5,4310.4,5777.8,8983.3,12521.4
Apar Industries Ltd.,49057.0,49674.7,55563.4,53444.7,51297.7,54966.8,75786.9,70660.9,58070.4,87191.9
Apollo Hospitals Enterprise Ltd.,30453.1,35533.7,42914.7,53706.3,61108.1,70528.2,81197.0,96422.0,91914.0,106121.0
Apollo Tyres Ltd.,92368.5,94799.7,93435.2,88200.5,95998.2,99466.2,121347.5,104755.0,111251.8,148637.1
Asahi India Glass Ltd.,21837.2,22940.6,21701.8,22403.1,24443.1,24710.7,27470.8,24941.0,21753.7,28234.6
Ashok Leyland Ltd.,136318.1,111058.7,150766.9,206743.6,218376.5,244921.0,285763.2,166180.7,166130.7,225141.6
Asian Paints Ltd.,97177.1,112550.5,126946.6,134107.7,152210.2,127885.4,147944.5,151078.9,190453.2,282349.5
