MSI Katana GF66 Core i7 11th Gen - (16 GB/1 TB SSD/Wind...,"15.6 inches, Black, 2.25 kg",4.4,(317),"₹75,990","₹1,17,990",35% off
Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB S...,"15.6 Inch, Shadow Black, 2.25 kg",4.3,(142),"₹49,990","₹76,890",34% off
HP Pavilion Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/...,"15.6 inch, Shadow Black, 1.98 kg",4.5,"(7,007)","₹56,990","₹74,841",23% off
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Cor...,"17.3 Inch, Graphite Black, 2.60 Kg",4.7,(18),"₹55,990","₹71,990",22% off
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"15.6 inch, Black Plastic, 2.30 kg kg",4.5,(177),"₹52,990","₹70,990",25% off
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB...,"15.6 inch, Shadow Black, 2.25$$kg kg",4.4,(195),"₹53,990","₹86,690",37% off
HP Victus Core i5 11th Gen - (8 GB/512 GB SSD/Windows 1...,"16.1 inch, Performance Blue, 2.48 Kg, With MS Office",4.3,(56),"₹66,990","₹87,716",23% off
acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windo...,"15.6 inch, Black, 2.15 Kg",4.4,"(12,591)","₹52,990","₹89,999",41% off
MSI Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home...,"15.6 Inch, Black, 1.86 Kg",,,"₹56,990","₹78,990",27% off
acer Aspire 7 Core i5 12th Gen - (8 GB/512 GB SSD/Windo...,"15.6 inch, Charcoal Black, 2.1 Kg",4.3,(72),"₹54,990","₹89,999",38% off
Lenovo IdeaPad Gaming 3 Core i5 10th Gen - (8 GB/512 GB...,"15.6 inch, Onyx Black, 2.2 kg",4.3,(596),"₹49,990","₹85,290",41% off
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"15.6 inches, Moonlight White, 1.90 kg, With MS Office",4.2,(83),"₹1,29,990","₹1,89,990",31% off
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"15.6 inch, Black Plastic, 2.30 Kg",4.5,"(4,561)","₹54,990","₹74,990",26% off
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"15.6 Inch, Black Plastic, 2.30 Kg, With MS Office",4.4,(287),"₹56,990","₹77,990",26% off
Lenovo IdeaPad Gaming 3i Core i7 11th Gen - (8 GB/512 G...,"15.6 inch, Shadow Black, 2.25 kg",4,(9),"₹69,990","₹1,18,890",41% off
Lenovo Ideapad Gaming 3 Core i5 11th Gen - (8 GB/1 TB H...,"15.6 inch, Shadow Black, 2.25 kg, With MS Office",,,"₹63,990","₹79,739",19% off
Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB/2 TB S...,"15.6 inch, Phantom Blue, Shadow Black, 2.4 kg, With MS Office",4.8,(4),"₹1,19,990","₹1,81,890",34% off
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 5600H - (16 G...,"15.6 inch, Shadow Black, 2.25 kg, With MS Office",,,"₹69,900","₹85,789",18% off
DELL Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Window...,"15.6 inch, Grey, 2.57 kg, With MS Office",4.5,(64),"₹73,990","₹1,02,522",27% off
acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SS...,"15.6 inch, Black, 2.15 kg",4.5,"(3,681)","₹52,990","₹89,999",41% off
ASUS ROG Strix G15 Ryzen 9 Octa Core 5900HX - (16 GB/51...,"15.6 inch, Eclipse Gray, 2.10 kg",4.5,(51),"₹93,990","₹1,36,990",31% off
DELL Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows...,"15.6 inch, Grey, 2.57 kg, With MS Office",4.6,(74),"₹69,990","₹95,999",27% off
Lenovo Ideapad Gaming 3 Ryzen 7 Octa Core 5800H - (16 G...,"15.6 inch, Shadow Black, 2.25 kg",5,(3),"₹69,990","₹1,12,990",38% off
Lenovo Ideapad Gaming 3 Core i5 11th Gen - (16 GB/1 TB ...,"15.6 inch, Shadow Black, 2.25 kg, With MS Office",5,(3),"₹67,990","₹84,139",19% off
acer Predator Helios 300 Core i7 11th Gen - (16 GB/1 TB...,"15.6 inch, Abyssal Black, 2.3 kg",4.5,(311),"₹1,00,200","₹1,49,999",33% off
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/1 TB SSD/W...,"15.6 inch, Black, 2.30 kg",4.3,(18),"₹58,890","₹80,990",27% off
ASUS ROG Strix G15 Ryzen 7 Octa Core 4800H - (8 GB/512 ...,"15.6 Inch, Eclipse Gray, 2.10 Kg",4.6,(804),"₹79,990","₹1,07,990",25% off
HP Pavilion Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/...,"15.6 Inch, Shadow Black, 1.98 Kg, With MS Office",4.7,(18),"₹57,990","₹73,544",21% off
MSI GF63 Thin Core i7 10th Gen - (16 GB/512 GB SSD/Wind...,"15.6 inch, Black, 1.86 kg",4.4,(557),"₹72,990","₹95,990",23% off
MSI GF65 Thin Core i7 10th Gen - (16 GB/1 TB SSD/Window...,"15.6 inch, Black, 1.86 kg",4.4,(833),"₹89,990","₹1,23,990",27% off
MSI GP66 Leopard Core i7 11th Gen - (16 GB/1 TB SSD/Win...,"15.6 inch, Black, 2.38 kg",4.8,(6),"₹1,29,990","₹1,73,990",25% off
Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB...,"15.6 inch, Shadow Black, 2.25 kg, With MS Office",,,"₹62,990","₹1,11,890",43% off
ASUS Vivobook Gaming Core i7 10th Gen - (16 GB/1 TB HDD...,"15.6 inch, Star Black, 2.14 kg",4.3,(95),"₹68,990","₹97,990",29% off
MSI Pulse GL66 Core i7 11th Gen - (16 GB/1 TB SSD/Windo...,"15.6 inches, Grey, 2.25 kg",4.6,(112),"₹99,990","₹1,39,990",28% off
HP Pavilion Gaming Ryzen 7 Octa Core 4800H - (16 GB/1 T...,"15.6 inch, Shadow Black, 2.19 kg, With MS Office",4.5,"(1,330)","₹74,990","₹93,565",19% off
DELL Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Ho...,"15.6 inch, Dark Shadow Grey, 2.65 kg, With MS Office",3.8,(16),"₹73,490","₹96,000",23% off
acer Predator Helios 300 Octa Core i7 10th Gen - (16 GB...,"15.6 inch, Black, 2.3 kg",4.5,"(1,431)","₹99,990","₹1,49,999",33% off
ASUS TUF Gaming A15 Ryzen 9 Octa Core 5900HX - (16 GB/5...,"15.6 inch, Graphite Black, 2.30 kg",,,"₹98,990","₹1,19,990",17% off
MSI Alpha 15 Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/...,"15.6 inch, Black, 2.35 kg",4.5,(205),"₹92,990","₹1,45,990",36% off
acer Nitro 5 Core i5 11th Gen - (8 GB/512 GB SSD/Window...,"15.6 inch, Shale Black, 2.2 kg",4.3,(6),"₹62,990","₹99,990",37% off
acer Nitro 5 Ryzen 7 Octa Core 5800H - (16 GB/1 TB HDD/...,"15.6 inch, Black, 2.4 kg",4.4,(426),"₹94,960","₹1,19,990",20% off
